paper_id,title,doi,full_text_status,full_text_source,full_text_url,full_text_license,full_text_text_path,full_text_chars,full_text_error,full_text_manual_lookup_url
10_1016_j_media_2020_101694,Convolutional neural networks for classification of Alzheimer's disease: Overview and reproducible evaluation,10.1016/j.media.2020.101694,pdf_text_extracted,unpaywall,https://arxiv.org/pdf/1904.07773,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1016_j_media_2020_101694_0ec25fc386a6f4cf.txt,182483,,
10_3389_fpubh_2022_853294,Early-Stage Alzheimer's Disease Prediction Using Machine Learning Models,10.3389/fpubh.2022.853294,pdf_text_extracted,provider_metadata,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.853294/pdf,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3389_fpubh_2022_853294_a088410121176826.txt,41220,,
10_1016_j_artmed_2022_102332,Deep learning for Alzheimer's disease diagnosis: A survey,10.1016/j.artmed.2022.102332,extraction_failed,,,,,0,provider_metadata https://linkinghub.elsevier.com/retrieve/pii/S0933365722000975: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S0933365722000975 | provider_metadata https://doi.org/10.1016/j.artmed.2022.102332: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S0933365722000975,https://scholar.google.com/scholar?q=10.1016/j.artmed.2022.102332
10_3389_fncom_2023_1038636,Conventional machine learning and deep learning in Alzheimer's disease diagnosis using neuroimaging: A review,10.3389/fncom.2023.1038636,pdf_text_extracted,provider_metadata,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2023.1038636/pdf,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3389_fncom_2023_1038636_c0752d20ca0acec1.txt,89901,,
10_1016_j_neuroimage_2020_117203,Predicting Alzheimer's disease progression using deep recurrent neural networks,10.1016/j.neuroimage.2020.117203,html_text_extracted,unpaywall,https://scholarbank.nus.edu.sg/entities/publication/3e277512-d274-4580-8fbf-f1411f1b85f2,cc-by-nc-nd,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1016_j_neuroimage_2020_117203_52049932b5929010.txt,3113,,
10_1016_j_irbm_2020_06_006,Deep Convolution Neural Network Based System for Early Diagnosis of Alzheimer's Disease,10.1016/j.irbm.2020.06.006,extraction_failed,,,,,0,provider_metadata https://linkinghub.elsevier.com/retrieve/pii/S195903182030110X: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S195903182030110X | provider_metadata https://doi.org/10.1016/j.irbm.2020.06.006: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S195903182030110X,https://scholar.google.com/scholar?q=10.1016/j.irbm.2020.06.006
10_3389_fpubh_2022_834032,Evaluation of Neuro Images for the Diagnosis of Alzheimer's Disease Using Deep Learning Neural Network,10.3389/fpubh.2022.834032,pdf_text_extracted,provider_metadata,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.834032/pdf,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3389_fpubh_2022_834032_97167fbddc7eb13a.txt,37120,,
10_1002_alz_13390,Artificial intelligence for biomarker discovery in Alzheimer's disease and dementia,10.1002/alz.13390,html_text_extracted,provider_metadata,https://onlinelibrary.wiley.com/action/cookieAbsent,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1002_alz_13390_b697eb857acc8fa6.txt,1328,,
10_1109_access_2021_3090474,DEMNET: A Deep Learning Model for Early Diagnosis of Alzheimer Diseases and Dementia From MR Images,10.1109/access.2021.3090474,pdf_text_extracted,provider_metadata,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09459692.pdf,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1109_access_2021_3090474_991b90d5a228fde2.txt,49659,,
10_1016_j_cmpb_2021_106032,Alzheimer's disease detection using depthwise separable convolutional neural networks,10.1016/j.cmpb.2021.106032,extraction_failed,,,,,0,provider_metadata https://linkinghub.elsevier.com/retrieve/pii/S0169260721001073: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S0169260721001073 | provider_metadata https://doi.org/10.1016/j.cmpb.2021.106032: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S0169260721001073 | core http://repository.uwl.ac.uk/id/eprint/7765/1/convNeuralNetworkOptimizationV12_1-Clean%20%283%29.pdf: TimeoutError: The read operation timed out | core https://core.ac.uk/works/8627763: ValueError: Extracted text too short for full-text tagging (139 chars) from https://core.ac.uk/works/8627763/,https://scholar.google.com/scholar?q=10.1016/j.cmpb.2021.106032
10_1016_s2589_7500(22)00169_8,"A deep learning model for detection of Alzheimer's disease based on retinal photographs: a retrospective, multicentre case-control study",10.1016/s2589-7500(22)00169-8,pdf_text_extracted,unpaywall,https://pureadmin.qub.ac.uk/ws/files/394647807/1_s2.0_S2589750022001698_main.pdf,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1016_s2589_7500_22_00169_8_47aaffdb9cae341c.txt,57202,,
10_1016_j_jbi_2020_103411,Deep ensemble learning for Alzheimer's disease classification,10.1016/j.jbi.2020.103411,html_text_extracted,provider_metadata,https://pmc.ncbi.nlm.nih.gov/articles/PMC9760486/,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1016_j_jbi_2020_103411_e403018cf8a3867f.txt,61965,,
10_1093_jamia_ocac168,Multimodal Attention-based Deep Learning for Alzheimer's Disease Diagnosis,10.1093/jamia/ocac168,pdf_text_extracted,provider_metadata,https://arxiv.org/pdf/2206.08826,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1093_jamia_ocac168_d82034fedebb81d4.txt,55982,,
10_1016_j_mri_2021_02_001,A 3D densely connected convolution neural network with connection-wise attention mechanism for Alzheimer's disease classification,10.1016/j.mri.2021.02.001,extraction_failed,,,,,0,provider_metadata https://linkinghub.elsevier.com/retrieve/pii/S0730725X21000138: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S0730725X21000138 | provider_metadata https://doi.org/10.1016/j.mri.2021.02.001: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S0730725X21000138,https://scholar.google.com/scholar?q=10.1016/j.mri.2021.02.001
10_1016_j_neurobiolaging_2021_04_024,A machine learning approach to screen for preclinical Alzheimer's disease,10.1016/j.neurobiolaging.2021.04.024,landing_pdf_text_extracted,unpaywall,https://hal.sorbonne-universite.fr/hal-03261206v1/file/Gaubert%20et%20al.%20-%202021%20-%20A%20machine%20learning%20approach%20to%20screen%20for%20preclini.pdf,other-oa,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1016_j_neurobiolaging_2021_04_024_5ad3dbc356e1d128.txt,79013,,
10_1111_jon_13063,"Functional magnetic resonance imaging, deep learning, and Alzheimer's disease: A systematic review",10.1111/jon.13063,html_text_extracted,provider_metadata,https://onlinelibrary.wiley.com/action/cookieAbsent,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1111_jon_13063_b697eb857acc8fa6.txt,1328,,
10_3390_brainsci10020084,A Deep Siamese Convolution Neural Network for Multi-Class Classification of Alzheimer Disease,10.3390/brainsci10020084,html_text_extracted,provider_metadata,https://pubmed.ncbi.nlm.nih.gov/32033462/,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3390_brainsci10020084_18edf91a47f7ce19.txt,7822,,
10_1016_j_measen_2022_100506,A deep learning based convolutional neural network model with VGG16 feature extractor for the detection of Alzheimer Disease using MRI scans,10.1016/j.measen.2022.100506,extraction_failed,,,,,0,provider_metadata https://linkinghub.elsevier.com/retrieve/pii/S2665917422001404: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S2665917422001404 | provider_metadata https://doi.org/10.1016/j.measen.2022.100506: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S2665917422001404 | unpaywall https://doaj.org/article/2455974ac95a496483593bd9df0865da: HTTPError: HTTP Error 403: Forbidden,https://scholar.google.com/scholar?q=10.1016/j.measen.2022.100506
10_1186_s41983_022_00571_w,Early prediction of Alzheimer's disease using convolutional neural network: a review,10.1186/s41983-022-00571-w,pdf_text_extracted,provider_metadata,https://link.springer.com/content/pdf/10.1186/s41983-022-00571-w.pdf?error=cookies_not_supported&code=3e5cd21a-1a84-4cf5-9391-a7af379420a9,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1186_s41983_022_00571_w_f5da81ed3efb150c.txt,40461,,
10_1016_j_compbiomed_2021_105032,Deep learning based pipelines for Alzheimer's disease diagnosis: A comparative study and a novel deep-ensemble method,10.1016/j.compbiomed.2021.105032,landing_pdf_text_extracted,provider_metadata,https://iris.unica.it/retrieve/3919579b-2b71-475d-a23c-48829a19ebcc/AAM_%20Deep_learning_based_pipeline_for_Alzheimer_s_disease_diagnosis.pdf,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1016_j_compbiomed_2021_105032_cb402226350177bb.txt,91661,,
10_1038_s41598_020_80312_2,Modular machine learning for Alzheimer's disease classification from retinal vasculature,10.1038/s41598-020-80312-2,pdf_text_extracted,provider_metadata,https://www.nature.com/articles/s41598-020-80312-2.pdf?error=cookies_not_supported&code=c648ac6b-b2f4-4801-8b25-105641ce5ef4,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1038_s41598_020_80312_2_4de71acfc8395ac5.txt,53084,,
10_1016_j_ejrad_2023_110934,Artificial intelligence-based diagnosis of Alzheimer's disease with brain MRI images,10.1016/j.ejrad.2023.110934,extraction_failed,,,,,0,provider_metadata https://linkinghub.elsevier.com/retrieve/pii/S0720048X23002486: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S0720048X23002486 | provider_metadata https://doi.org/10.1016/j.ejrad.2023.110934: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S0720048X23002486 | unpaywall http://www.ejradiology.com/article/S0720048X23002486/pdf: HTTPError: HTTP Error 403: Forbidden,https://scholar.google.com/scholar?q=10.1016/j.ejrad.2023.110934
10_1016_j_compbiomed_2022_105634,Early diagnosis of Alzheimer's disease based on deep learning: A systematic review,10.1016/j.compbiomed.2022.105634,extraction_failed,,,,,0,provider_metadata https://linkinghub.elsevier.com/retrieve/pii/S0010482522004267: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S0010482522004267 | provider_metadata https://doi.org/10.1016/j.compbiomed.2022.105634: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S0010482522004267,https://scholar.google.com/scholar?q=10.1016/j.compbiomed.2022.105634
10_1038_s41598_020_79243_9,Identification of Alzheimer's disease using a convolutional neural network model based on T1-weighted magnetic resonance imaging,10.1038/s41598-020-79243-9,pdf_text_extracted,provider_metadata,https://www.nature.com/articles/s41598-020-79243-9.pdf?error=cookies_not_supported&code=e47b3c3d-e40c-4f2a-8a61-1d66178f2ef7,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1038_s41598_020_79243_9_6005da601e6cd0ef.txt,45756,,
