title,categoric,semantic,paper_id,year,doi,research_application,ai_method_family,data_modality,disease_stage_or_population,validation_design,evaluation_focus,study_contribution
Convolutional neural networks for classification of Alzheimer's disease: Overview and reproducible evaluation,diagnosis,This paper reviews convolutional neural networks for classifying Alzheimer's disease using MRI data and addresses reproducibility and validation issues.,10_1016_j_media_2020_101694,2020,10.1016/j.media.2020.101694,diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease,cross_validation; internal_holdout,discrimination_performance,model_development; review_or_synthesis
Early-Stage Alzheimer's Disease Prediction Using Machine Learning Models,early_detection,This paper demonstrates the application of various machine learning techniques to predict early-stage Alzheimer's disease using performance metrics.,10_3389_fpubh_2022_853294,2022,10.3389/fpubh.2022.853294,early_detection; diagnosis,classical_machine_learning,structural_mri; clinical_assessment,prodromal_alzheimers,cross_validation,discrimination_performance; clinical_utility,model_development; clinical_application
Deep learning for Alzheimer's disease diagnosis: A survey,diagnosis,The paper surveys the application of deep learning techniques for diagnosing Alzheimer's disease.,10_1016_j_artmed_2022_102332,2022,10.1016/j.artmed.2022.102332,diagnosis,deep_learning,,,,,review_or_synthesis
Conventional machine learning and deep learning in Alzheimer's disease diagnosis using neuroimaging: A review,diagnosis,This review examines the applications of conventional machine learning and deep learning techniques in diagnosing Alzheimer's disease using neuroimaging.,10_3389_fncom_2023_1038636,2023,10.3389/fncom.2023.1038636,diagnosis; disease_classification,classical_machine_learning; deep_learning; convolutional_neural_network; transformer,structural_mri,mild_cognitive_impairment; alzheimers_disease,,,review_or_synthesis
Predicting Alzheimer's disease progression using deep recurrent neural networks,progression_prediction,This paper presents a minimal recurrent neural network model to predict Alzheimer's disease progression using longitudinal data from the TADPOLE challenge.,10_1016_j_neuroimage_2020_117203,2020,10.1016/j.neuroimage.2020.117203,progression_prediction; diagnosis,deep_learning; recurrent_neural_network,multimodal_data,prodromal_alzheimers; alzheimers_disease,cross_validation; external_validation,discrimination_performance; generalizability,model_development; comparative_benchmark
Deep Convolution Neural Network Based System for Early Diagnosis of Alzheimer's Disease,early_detection,The paper presents a deep convolutional neural network system for the early diagnosis of Alzheimer's disease.,10_1016_j_irbm_2020_06_006,2020,10.1016/j.irbm.2020.06.006,early_detection; diagnosis,deep_learning; convolutional_neural_network,,prodromal_alzheimers; alzheimers_disease,,,model_development
Evaluation of Neuro Images for the Diagnosis of Alzheimer's Disease Using Deep Learning Neural Network,diagnosis,This paper presents a convolutional neural network-based computer-aided diagnosis system for identifying Alzheimer's disease using 18FDG-PET imaging.,10_3389_fpubh_2022_834032,2022,10.3389/fpubh.2022.834032,diagnosis; early_detection,deep_learning; convolutional_neural_network,pet,alzheimers_disease,real_world_validation,discrimination_performance,model_development; model_validation
Artificial intelligence for biomarker discovery in Alzheimer's disease and dementia,diagnosis,The paper discusses the application of AI and machine learning for discovering novel biomarkers in Alzheimer's disease and dementia.,10_1002_alz_13390,2023,10.1002/alz.13390,diagnosis; clinical_decision_support,classical_machine_learning; deep_learning,multimodal_data,alzheimers_disease,,,model_development; methodological_framework
DEMNET: A Deep Learning Model for Early Diagnosis of Alzheimer Diseases and Dementia From MR Images,early_detection,The study presents a deep learning model (DEMNET) for the accurate early diagnosis of Alzheimer's disease using MR images.,10_1109_access_2021_3090474,2021,10.1109/access.2021.3090474,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,mild_cognitive_impairment; prodromal_alzheimers; alzheimers_disease,cross_validation,discrimination_performance,model_development; model_validation
Alzheimer's disease detection using depthwise separable convolutional neural networks,diagnosis,This paper explores the use of depthwise separable convolutional neural networks for detecting Alzheimer's disease.,10_1016_j_cmpb_2021_106032,2021,10.1016/j.cmpb.2021.106032,diagnosis,convolutional_neural_network,,alzheimers_disease,,,model_development
