paper_id,title,year,doi,abstract,authors,venue,url,source,full_text_path,full_text_availability_status,full_text_availability_source,full_text_url,full_text_url_kind,full_text_url_checked_at,full_text_url_content_type,full_text_license,full_text_is_open_access,full_text_availability_error,notes,abstract_available,full_text_available,metadata_notes
10_1016_j_media_2020_101694,Convolutional neural networks for classification of Alzheimer's disease: Overview and reproducible evaluation,2020,10.1016/j.media.2020.101694,"Numerous machine learning (ML) approaches have been proposed for automatic classification of Alzheimer's disease (AD) from brain imaging data. In particular, over 30 papers have proposed to use convolutional neural networks (CNN) for AD classification from anatomical MRI. However, the classification performance is difficult to compare across studies due to variations in components such as participant selection, image preprocessing or validation procedure. Moreover, these studies are hardly reproducible because their frameworks are not publicly accessible and because implementation details are lacking. Lastly, some of these papers may report a biased performance due to inadequate or unclear validation or model selection procedures. In the present work, we aim to address these limitations through three main contributions. First, we performed a systematic literature review. We identified four main types of approaches: i) 2D slice-level, ii) 3D patch-level, iii) ROI-based and iv) 3D subject-level CNN. Moreover, we found that more than half of the surveyed papers may have suffered from data leakage and thus reported biased performance. Our second contribution is the extension of our open-source framework for classification of AD using CNN and T1-weighted MRI. The framework comprises previously developed tools to automatically convert ADNI, AIBL and OASIS data into the BIDS standard, and a modular set of image preprocessing procedures, classification architectures and evaluation procedures dedicated to deep learning. Finally, we used this framework to rigorously compare different CNN architectures. The data was split into training/validation/test sets at the very beginning and only the training/validation sets were used for model selection. To avoid any overfitting, the test sets were left untouched until the end of the peer-review process. Overall, the different 3D approaches (3D-subject, 3D-ROI, 3D-patch) achieved similar performances while that of the 2D slice approach was lower. Of note, the different CNN approaches did not perform better than a SVM with voxel-based features. The different approaches generalized well to similar populations but not to datasets with different inclusion criteria or demographical characteristics. All the code of the framework and the experiments is publicly available: general-purpose tools have been integrated into the Clinica software (www.clinica.run) and the paper-specific code is available at: https://github.com/aramis-lab/AD-DL.",Junhao Wen; Elina Thibeau–Sutre; Mauricio Diaz-Melo; Jorge Samper‐Gonzàlez; Alexandre Routier; Simona Bottani; Didier Dormont; Stanley Durrleman; Ninon Burgos; Olivier Colliot,Medical Image Analysis,https://doi.org/10.1016/j.media.2020.101694,collected:openalex,,verified,openalex_best_oa_location,https://linkinghub.elsevier.com/retrieve/pii/S1361841520300591,landing_page,2026-06-19T14:06:28.771254+00:00,text/html;charset=UTF-8,public-domain,yes,,"provider=openalex; provider_id=https://openalex.org/W3022315685; source_rank=1; retrieval_date=2026-06-19; screening_confidence=high; screening_reason=Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.; screening_status=deterministic_include; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=alzheimers_disease; artificial_intelligence; source_query=(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence""); source_query_reason=Tier 0: anchor and all main topics.; dedupe_key=doi:10.1016/j.media.2020.101694; duplicate_count=1; in_fetch_duplicate_count=1; topic_main_matches=alzheimers_disease=Alzheimer disease@title|Alzheimer@title|Alzheimer's disease@title|Alzheimer's@title, artificial_intelligence=neural network@title|neural networks@title",yes,yes,
10_3389_fpubh_2022_853294,Early-Stage Alzheimer's Disease Prediction Using Machine Learning Models,2022,10.3389/fpubh.2022.853294,"Alzheimer's disease (AD) is the leading cause of dementia in older adults. There is currently a lot of interest in applying machine learning to find out metabolic diseases like Alzheimer's and Diabetes that affect a large population of people around the world. Their incidence rates are increasing at an alarming rate every year. In Alzheimer's disease, the brain is affected by neurodegenerative changes. As our aging population increases, more and more individuals, their families, and healthcare will experience diseases that affect memory and functioning. These effects will be profound on the social, financial, and economic fronts. In its early stages, Alzheimer's disease is hard to predict. A treatment given at an early stage of AD is more effective, and it causes fewer minor damage than a treatment done at a later stage. Several techniques such as Decision Tree, Random Forest, Support Vector Machine, Gradient Boosting, and Voting classifiers have been employed to identify the best parameters for Alzheimer's disease prediction. Predictions of Alzheimer's disease are based on Open Access Series of Imaging Studies (OASIS) data, and performance is measured with parameters like Precision, Recall, Accuracy, and F1-score for ML models. The proposed classification scheme can be used by clinicians to make diagnoses of these diseases. It is highly beneficial to lower annual mortality rates of Alzheimer's disease in early diagnosis with these ML algorithms. The proposed work shows better results with the best validation average accuracy of 83% on the test data of AD. This test accuracy score is significantly higher in comparison with existing works.",C. Kavitha; Vinodhini Mani; S. Srividhya; Osamah Ibrahim Khalaf; Carlos Andrés Tavera Romero,Frontiers in Public Health,https://doi.org/10.3389/fpubh.2022.853294,collected:openalex,,verified,openalex_open_access,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.853294/pdf,pdf,2026-06-19T14:06:28.478309+00:00,application/pdf,,yes,,"provider=openalex; provider_id=https://openalex.org/W4214898695; source_rank=2; retrieval_date=2026-06-19; screening_confidence=high; screening_reason=Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.; screening_status=deterministic_include; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=alzheimers_disease; artificial_intelligence; source_query=(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence""); source_query_reason=Tier 0: anchor and all main topics.; dedupe_key=doi:10.3389/fpubh.2022.853294; duplicate_count=1; in_fetch_duplicate_count=1; topic_main_matches=alzheimers_disease=Alzheimer disease@title|Alzheimer@title|Alzheimer's disease@title|Alzheimer's@title, artificial_intelligence=machine learning@title",yes,yes,
10_1016_j_artmed_2022_102332,Deep learning for Alzheimer's disease diagnosis: A survey,2022,10.1016/j.artmed.2022.102332,,M. Khojaste-Sarakhsi; Seyedhamidreza Shahabi Haghighi; S.M.T. Fatemi Ghomi; Elena Marchiori,Artificial Intelligence in Medicine,https://doi.org/10.1016/j.artmed.2022.102332,collected:openalex,,verified,openalex_primary_location,https://linkinghub.elsevier.com/retrieve/pii/S0933365722000975,landing_page,2026-06-19T14:06:37.952727+00:00,text/html;charset=UTF-8,,no,,"provider=openalex; provider_id=https://openalex.org/W4281730963; source_rank=3; retrieval_date=2026-06-19; screening_confidence=high; screening_reason=Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.; screening_status=deterministic_include; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=alzheimers_disease; artificial_intelligence; source_query=(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence""); source_query_reason=Tier 0: anchor and all main topics.; dedupe_key=doi:10.1016/j.artmed.2022.102332; duplicate_count=1; in_fetch_duplicate_count=1; topic_main_matches=alzheimers_disease=Alzheimer disease@title|Alzheimer@title|Alzheimer's disease@title|Alzheimer's@title, artificial_intelligence=deep learning@title",no,yes,missing_abstract
10_3389_fncom_2023_1038636,Conventional machine learning and deep learning in Alzheimer's disease diagnosis using neuroimaging: A review,2023,10.3389/fncom.2023.1038636,"Alzheimer's disease (AD) is a neurodegenerative disorder that causes memory degradation and cognitive function impairment in elderly people. The irreversible and devastating cognitive decline brings large burdens on patients and society. So far, there is no effective treatment that can cure AD, but the process of early-stage AD can slow down. Early and accurate detection is critical for treatment. In recent years, deep-learning-based approaches have achieved great success in Alzheimer's disease diagnosis. The main objective of this paper is to review some popular conventional machine learning methods used for the classification and prediction of AD using Magnetic Resonance Imaging (MRI). The methods reviewed in this paper include support vector machine (SVM), random forest (RF), convolutional neural network (CNN), autoencoder, deep learning, and transformer. This paper also reviews pervasively used feature extractors and different types of input forms of convolutional neural network. At last, this review discusses challenges such as class imbalance and data leakage. It also discusses the trade-offs and suggestions about pre-processing techniques, deep learning, conventional machine learning methods, new techniques, and input type selection.",Zhen Zhao; Joon Huang Chuah; Khin Wee Lai; Chee‐Onn Chow; Munkhjargal Gochoo; Samiappan Dhanalakshmi; Na Wang; Wei Bao; Xiang Wu,Frontiers in Computational Neuroscience,https://doi.org/10.3389/fncom.2023.1038636,collected:openalex,,verified,openalex_open_access,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2023.1038636/pdf,pdf,2026-06-19T14:06:28.478424+00:00,application/pdf,,yes,,"provider=openalex; provider_id=https://openalex.org/W4319321475; source_rank=4; retrieval_date=2026-06-19; screening_confidence=high; screening_reason=Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.; screening_status=deterministic_include; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=alzheimers_disease; artificial_intelligence; source_query=(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence""); source_query_reason=Tier 0: anchor and all main topics.; dedupe_key=doi:10.3389/fncom.2023.1038636; duplicate_count=1; in_fetch_duplicate_count=1; topic_main_matches=alzheimers_disease=Alzheimer disease@title|Alzheimer@title|Alzheimer's disease@title|Alzheimer's@title, artificial_intelligence=deep learning@title|machine learning@title",yes,yes,
10_1016_j_neuroimage_2020_117203,Predicting Alzheimer's disease progression using deep recurrent neural networks,2020,10.1016/j.neuroimage.2020.117203,"Early identification of individuals at risk of developing Alzheimer's disease (AD) dementia is important for developing disease-modifying therapies. In this study, given multimodal AD markers and clinical diagnosis of an individual from one or more timepoints, we seek to predict the clinical diagnosis, cognition and ventricular volume of the individual for every month (indefinitely) into the future. We proposed and applied a minimal recurrent neural network (minimalRNN) model to data from The Alzheimer's Disease Prediction Of Longitudinal Evolution (TADPOLE) challenge, comprising longitudinal data of 1677 participants (Marinescu et al., 2018) from the Alzheimer's Disease Neuroimaging Initiative (ADNI). We compared the performance of the minimalRNN model and four baseline algorithms up to 6 years into the future. Most previous work on predicting AD progression ignore the issue of missing data, which is a prevalent issue in longitudinal data. Here, we explored three different strategies to handle missing data. Two of the strategies treated the missing data as a ""preprocessing"" issue, by imputing the missing data using the previous timepoint (""forward filling"") or linear interpolation (""linear filling). The third strategy utilized the minimalRNN model itself to fill in the missing data both during training and testing (""model filling""). Our analyses suggest that the minimalRNN with ""model filling"" compared favorably with baseline algorithms, including support vector machine/regression, linear state space (LSS) model, and long short-term memory (LSTM) model. Importantly, although the training procedure utilized longitudinal data, we found that the trained minimalRNN model exhibited similar performance, when using only 1 input timepoint or 4 input timepoints, suggesting that our approach might work well with just cross-sectional data. An earlier version of our approach was ranked 5th (out of 53 entries) in the TADPOLE challenge in 2019. The current approach is ranked 2nd out of 63 entries as of June 3rd, 2020.",Minh Nguyen; Tong He; Lijun An; Daniel C. Alexander; Jiashi Feng; B.T. Thomas Yeo,NeuroImage,https://doi.org/10.1016/j.neuroimage.2020.117203,collected:openalex,,verified,openalex_open_access,https://linkinghub.elsevier.com/retrieve/pii/S1053811920306893,landing_page,2026-06-19T14:06:28.478538+00:00,text/html;charset=UTF-8,,yes,,"provider=openalex; provider_id=https://openalex.org/W3047286661; source_rank=5; retrieval_date=2026-06-19; screening_confidence=high; screening_reason=Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.; screening_status=deterministic_include; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=alzheimers_disease; artificial_intelligence; source_query=(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence""); source_query_reason=Tier 0: anchor and all main topics.; dedupe_key=doi:10.1016/j.neuroimage.2020.117203; duplicate_count=1; in_fetch_duplicate_count=1; topic_main_matches=alzheimers_disease=Alzheimer disease@title|Alzheimer@title|Alzheimer's disease@title|Alzheimer's@title, artificial_intelligence=neural network@title|neural networks@title",yes,yes,
10_1016_j_irbm_2020_06_006,Deep Convolution Neural Network Based System for Early Diagnosis of Alzheimer's Disease,2020,10.1016/j.irbm.2020.06.006,,Rekh Ram Janghel; Yogesh Kumar Rathore,IRBM,https://doi.org/10.1016/j.irbm.2020.06.006,collected:openalex,,verified,openalex_primary_location,https://linkinghub.elsevier.com/retrieve/pii/S195903182030110X,landing_page,2026-06-19T14:06:38.137846+00:00,text/html;charset=UTF-8,,no,,"provider=openalex; provider_id=https://openalex.org/W3040248281; source_rank=6; retrieval_date=2026-06-19; screening_confidence=high; screening_reason=Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.; screening_status=deterministic_include; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=alzheimers_disease; artificial_intelligence; source_query=(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence""); source_query_reason=Tier 0: anchor and all main topics.; dedupe_key=doi:10.1016/j.irbm.2020.06.006; duplicate_count=1; in_fetch_duplicate_count=1; topic_main_matches=alzheimers_disease=Alzheimer disease@title|Alzheimer@title|Alzheimer's disease@title|Alzheimer's@title, artificial_intelligence=neural network@title",no,yes,missing_abstract
10_3389_fpubh_2022_834032,Evaluation of Neuro Images for the Diagnosis of Alzheimer's Disease Using Deep Learning Neural Network,2022,10.3389/fpubh.2022.834032,"Alzheimer's Disease (AD) is a progressive, neurodegenerative brain disease and is an incurable ailment. No drug exists for AD, but its progression can be delayed if the disorder is identified at its initial stage. Therefore, an early analysis of AD is of fundamental importance for patient care and efficient treatment. Neuroimaging techniques aim to assist the physician in the diagnosis of brain disorders by using images. Positron emission tomography (PET) is a kind of neuroimaging technique employed to create 3D images of the brain. Due to many PET images, researchers attempted to develop computer-aided diagnosis (CAD) to differentiate normal control from AD. Most of the earlier methods used image processing techniques for preprocessing and attributes extraction and then developed a model or classifier to classify the brain images. As a result, the retrieved features had a significant impact on the recognition rate of previous techniques. A novel and enhanced CAD system based on a convolutional neural network (CNN) is formulated to address this issue, capable of discriminating normal control from Alzheimer's disease patients. The proposed approach is evaluated using the 18FDG-PET images of 855 patients, including 635 normal control and 220 Alzheimer's disease patients from the ADNI database. The result showed that the proposed CAD system yields an accuracy of 96%, a sensitivity of 96%, and a specificity of 94%, leading to splendid performance when related to the methods already in use that are specified in the literature.",A. Ahila; M. Poongodi; Mounir Hamdi; Sami Bourouis; Rastislav Kulhánek; Faizaan Mohmed,Frontiers in Public Health,https://doi.org/10.3389/fpubh.2022.834032,collected:openalex,,verified,openalex_open_access,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.834032/pdf,pdf,2026-06-19T14:06:28.478642+00:00,application/pdf,,yes,,"provider=openalex; provider_id=https://openalex.org/W4210296429; source_rank=7; retrieval_date=2026-06-19; screening_confidence=high; screening_reason=Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.; screening_status=deterministic_include; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=alzheimers_disease; artificial_intelligence; source_query=(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence""); source_query_reason=Tier 0: anchor and all main topics.; dedupe_key=doi:10.3389/fpubh.2022.834032; duplicate_count=1; in_fetch_duplicate_count=1; topic_main_matches=alzheimers_disease=Alzheimer disease@title|Alzheimer@title|Alzheimer's disease@title|Alzheimer's@title, artificial_intelligence=deep learning@title|neural network@title",yes,yes,
10_1002_alz_13390,Artificial intelligence for biomarker discovery in Alzheimer's disease and dementia,2023,10.1002/alz.13390,"With the increase in large multimodal cohorts and high-throughput technologies, the potential for discovering novel biomarkers is no longer limited by data set size. Artificial intelligence (AI) and machine learning approaches have been developed to detect novel biomarkers and interactions in complex data sets. We discuss exemplar uses and evaluate current applications and limitations of AI to discover novel biomarkers. Remaining challenges include a lack of diversity in the data sets available, the sheer complexity of investigating interactions, the invasiveness and cost of some biomarkers, and poor reporting in some studies. Overcoming these challenges will involve collecting data from underrepresented populations, developing more powerful AI approaches, validating the use of noninvasive biomarkers, and adhering to reporting guidelines. By harnessing rich multimodal data through AI approaches and international collaborative innovation, we are well positioned to identify clinically useful biomarkers that are accurate, generalizable, unbiased, and acceptable in clinical practice. HIGHLIGHTS: Artificial intelligence and machine learning approaches may accelerate dementia biomarker discovery. Remaining challenges include data set suitability due to size and bias in cohort selection. Multimodal data, diverse data sets, improved machine learning approaches, real-world validation, and interdisciplinary collaboration are required.",Laura Winchester; Eric L. Harshfield; Shi Liu; AmanPreet Badhwar; Ahmad Al Khleifat; Natasha Clarke; Amir Dehsarvi; Imre Lengyel; Ilianna Lourida; Christopher R. Madan; Sarah J. Marzi; Petroula Proitsi; Anto P. Rajkumar; Timothy Rittman; Edina Silajdžić; Stefano Tamburin; Janice M. Ranson; David J. Llewellyn,Alzheimer s & Dementia,https://doi.org/10.1002/alz.13390,collected:openalex,,verified,openalex_open_access,https://onlinelibrary.wiley.com/action/cookieAbsent,pdf,2026-06-19T14:06:28.478762+00:00,text/html;charset=UTF-8,,yes,,"provider=openalex; provider_id=https://openalex.org/W4386347024; source_rank=8; retrieval_date=2026-06-19; screening_confidence=high; screening_reason=Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.; screening_status=deterministic_include; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=alzheimers_disease; artificial_intelligence; source_query=(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence""); source_query_reason=Tier 0: anchor and all main topics.; dedupe_key=doi:10.1002/alz.13390; duplicate_count=1; in_fetch_duplicate_count=1; topic_main_matches=alzheimers_disease=Alzheimer disease@title|Alzheimer@title|Alzheimer's disease@title|Alzheimer's@title, artificial_intelligence=artificial intelligence@title",yes,yes,
10_1109_access_2021_3090474,DEMNET: A Deep Learning Model for Early Diagnosis of Alzheimer Diseases and Dementia From MR Images,2021,10.1109/access.2021.3090474,"Alzheimer's Disease (AD) is the most common cause of dementia globally. It steadily worsens from mild to severe, impairing one's ability to complete any work without assistance. It begins to outstrip due to the population ages and diagnosis timeline. For classifying cases, existing approaches incorporate medical history, neuropsychological testing, and Magnetic Resonance Imaging (MRI), but efficient procedures remain inconsistent due to lack of sensitivity and precision. The Convolutional Neural Network (CNN) is utilized to create a framework that can be used to detect specific Alzheimer's disease characteristics from MRI images. By considering four stages of dementia and conducting a particular diagnosis, the proposed model generates high-resolution disease probability maps from the local brain structure to a multilayer perceptron and provides accurate, intuitive visualizations of individual Alzheimer's disease risk. To avoid the problem of class imbalance, the samples should be evenly distributed among the classes. The obtained MRI image dataset from Kaggle has a major class imbalance problem. A DEMentia NETwork (DEMNET) is proposed to detect the dementia stages from MRI. The DEMNET achieves an accuracy of 95.23%, Area Under Curve (AUC) of 97% and Cohen's Kappa value of 0.93 from the Kaggle dataset, which is superior to existing methods. We also used the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset to predict AD classes in order to assess the efficacy of the proposed model.",Suriya Murugan; Chandran Venkatesan; M. G. Sumithra; Xiao‐Zhi Gao; B. Elakkiya; M. Akila; S. Manoharan,IEEE Access,https://doi.org/10.1109/access.2021.3090474,collected:openalex,,verified,openalex_open_access,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09459692.pdf,pdf,2026-06-19T14:06:28.478833+00:00,application/pdf,,yes,,"provider=openalex; provider_id=https://openalex.org/W3173195087; source_rank=9; retrieval_date=2026-06-19; screening_confidence=high; screening_reason=Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.; screening_status=deterministic_include; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=alzheimers_disease; artificial_intelligence; source_query=(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence""); source_query_reason=Tier 0: anchor and all main topics.; dedupe_key=doi:10.1109/access.2021.3090474; duplicate_count=1; in_fetch_duplicate_count=1; topic_main_matches=alzheimers_disease=Alzheimer disease@title|Alzheimer@title, artificial_intelligence=deep learning@title",yes,yes,
10_1016_j_cmpb_2021_106032,Alzheimer's disease detection using depthwise separable convolutional neural networks,2021,10.1016/j.cmpb.2021.106032,,Junxiu Liu; Mingxing Li; Yuling Luo; Su Yang; Wei Li; Yifei Bi,Computer Methods and Programs in Biomedicine,https://doi.org/10.1016/j.cmpb.2021.106032,collected:openalex,,verified,openalex_primary_location,https://linkinghub.elsevier.com/retrieve/pii/S0169260721001073,landing_page,2026-06-19T14:06:38.228583+00:00,text/html;charset=UTF-8,,no,,"provider=openalex; provider_id=https://openalex.org/W3134726279; source_rank=10; retrieval_date=2026-06-19; screening_confidence=high; screening_reason=Deterministic title-strict tier-0 retrieval match: anchor and all main topics matched in the title.; screening_status=deterministic_include; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=alzheimers_disease; artificial_intelligence; source_query=(""Alzheimer's disease"" OR Alzheimer's OR ""Alzheimer disease"" OR ""prodromal Alzheimer's disease"" OR ""preclinical Alzheimer's disease"" OR ""dementia due to Alzheimer's disease"") AND (""artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""natural language processing"" OR ""computer vision"" OR ""computational intelligence""); source_query_reason=Tier 0: anchor and all main topics.; dedupe_key=doi:10.1016/j.cmpb.2021.106032; duplicate_count=1; in_fetch_duplicate_count=1; topic_main_matches=alzheimers_disease=Alzheimer disease@title|Alzheimer@title|Alzheimer's disease@title|Alzheimer's@title, artificial_intelligence=neural network@title|neural networks@title",no,yes,missing_abstract
