paper_id,title,year,doi,authors,venue,source,methodology,study_design,dataset_or_sample,key_finding,paper_limitation,direct_quote,future_work_or_gap,evidence_sections_used,extraction_notes
10_1016_j_media_2020_101694,Convolutional neural networks for classification of Alzheimer's disease: Overview and reproducible evaluation,2020,10.1016/j.media.2020.101694,Junhao Wen; Elina Thibeau–Sutre; Mauricio Diaz-Melo; Jorge Samper‐Gonzàlez; Alexandre Routier; Simona Bottani; Didier Dormont; Stanley Durrleman; Ninon Burgos; Olivier Colliot,Medical Image Analysis,collected:openalex,systematic_literature_review; convolutional_neural_network,validation_study,ADNI; AIBL,The classification performance of various CNN approaches is difficult to compare due to methodological inconsistencies and data leakage in some studies.,Classification performance is difficult to compare across studies due to variations in participant selection and validation procedures.,"[{""quote"": ""Moreover, these studies are hardly reproducible because their frameworks are not publicly accessible and because implementation details are lacking."", ""section"": ""abstract"", ""reason"": ""This summarizes the key issue of reproducibility highlighted in the study.""}]",Further research is needed to establish standardized frameworks for reproducibility in CNN studies on AD.,abstract,
10_3389_fpubh_2022_853294,Early-Stage Alzheimer's Disease Prediction Using Machine Learning Models,2022,10.3389/fpubh.2022.853294,C. Kavitha; Vinodhini Mani; S. Srividhya; Osamah Ibrahim Khalaf; Carlos Andrés Tavera Romero,Frontiers in Public Health,collected:openalex,machine_learning; feature_selection,model_development_study,Open Access Series of Imaging Studies (OASIS) dataset,The classification scheme achieved a validation average accuracy of 83% on the test data for predicting Alzheimer's disease.,unclear,"[{""quote"": ""A treatment given at an early stage of AD is more effective, and it causes fewer minor damage than a treatment done at a later stage."", ""section"": ""abstract"", ""reason"": ""This quote emphasizes the importance of early detection in Alzheimer’s treatment.""}]",unclear,abstract; results,
10_1016_j_artmed_2022_102332,Deep learning for Alzheimer's disease diagnosis: A survey,2022,10.1016/j.artmed.2022.102332,M. Khojaste-Sarakhsi; Seyedhamidreza Shahabi Haghighi; S.M.T. Fatemi Ghomi; Elena Marchiori,Artificial Intelligence in Medicine,collected:openalex,deep_learning,validation_study,unclear,unclear,unclear,[],unclear,,
10_1016_j_neuroimage_2020_117203,Predicting Alzheimer's disease progression using deep recurrent neural networks,2020,10.1016/j.neuroimage.2020.117203,Minh Nguyen; Tong He; Lijun An; Daniel C. Alexander; Jiashi Feng; B.T. Thomas Yeo,NeuroImage,collected:openalex,minimal_recurrent_neural_network; imputation_strategies,longitudinal_study,"The Alzheimer's Disease Prediction Of Longitudinal Evolution (TADPOLE) challenge, longitudinal data from 1677 participants in the Alzheimer's Disease","The minimalRNN model accurately predicts Alzheimer's disease progression, handling missing data effectively and outperformed baseline algorithms.",The model's effectiveness in predicting clinical outcomes with only cross-sectional data needs further exploration; potential bias from participant selection is not discussed.,[],unclear,abstract; methodology,
10_1016_j_irbm_2020_06_006,Deep Convolution Neural Network Based System for Early Diagnosis of Alzheimer's Disease,2020,10.1016/j.irbm.2020.06.006,Rekh Ram Janghel; Yogesh Kumar Rathore,IRBM,collected:openalex,deep_convolution_neural_network,model_development_study,unclear,unclear,unclear,[],unclear,,
10_3389_fpubh_2022_834032,Evaluation of Neuro Images for the Diagnosis of Alzheimer's Disease Using Deep Learning Neural Network,2022,10.3389/fpubh.2022.834032,A. Ahila; M. Poongodi; Mounir Hamdi; Sami Bourouis; Rastislav Kulhánek; Faizaan Mohmed,Frontiers in Public Health,collected:openalex,deep_learning; convolutional_neural_network,cohort_study,"18FDG-PET images from ADNI, comprising 635 normal controls and 220 Alzheimer's disease patients.","The proposed CAD system yields an accuracy of 96%, sensitivity of 96%, and specificity of 94% for distinguishing Alzheimer's disease.",The study may not generalize to other neuroimaging modalities beyond PET.,"[{""quote"": ""The proposed approach is evaluated using the 18FDG-PET images of 855 patients."", ""section"": ""abstract"", ""reason"": ""This quote provides a clear summary of the dataset used in the study, which supports the validity of the findings.""}]","Future work could explore the application of the CAD system to other imaging modalities and larger, more diverse datasets.",abstract; results; discussion,
10_1002_alz_13390,Artificial intelligence for biomarker discovery in Alzheimer's disease and dementia,2023,10.1002/alz.13390,Laura Winchester; Eric L. Harshfield; Shi Liu; AmanPreet Badhwar; Ahmad Al Khleifat; Natasha Clarke; Amir Dehsarvi; Imre Lengyel; Ilianna Lourida; Christopher R. Madan; Sarah J. Marzi; Petroula Proitsi; Anto P. Rajkumar; Timothy Rittman; Edina Silajdžić; Stefano Tamburin; Janice M. Ranson; David J. Llewellyn,Alzheimer s & Dementia,collected:openalex,artificial_intelligence; machine_learning,observational_study,large multimodal cohorts,Artificial intelligence and machine learning approaches may accelerate dementia biomarker discovery.,Remaining challenges include a lack of diversity in the data sets available and the complexity of investigating interactions.,[],Overcoming the challenges of data set suitability and improving AI approaches is crucial for future research.,abstract,
10_1109_access_2021_3090474,DEMNET: A Deep Learning Model for Early Diagnosis of Alzheimer Diseases and Dementia From MR Images,2021,10.1109/access.2021.3090474,Suriya Murugan; Chandran Venkatesan; M. G. Sumithra; Xiao‐Zhi Gao; B. Elakkiya; M. Akila; S. Manoharan,IEEE Access,collected:openalex,deep_learning; convolutional_neural_network,model_development_study,MRI image dataset from Kaggle; Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset,The DEMNET model achieves an accuracy of 95.23% and AUC of 97% for early diagnosis of Alzheimer's disease from MR images.,The study is constrained by a major class imbalance issue in the Kaggle dataset.,[],unclear,abstract; introduction,
10_1016_j_cmpb_2021_106032,Alzheimer's disease detection using depthwise separable convolutional neural networks,2021,10.1016/j.cmpb.2021.106032,Junxiu Liu; Mingxing Li; Yuling Luo; Su Yang; Wei Li; Yifei Bi,Computer Methods and Programs in Biomedicine,collected:openalex,depthwise_separable_convolutional_neural_networks,unclear,unclear,unclear,unclear,[],unclear,title,
10_1016_s2589_7500(22)00169_8,"A deep learning model for detection of Alzheimer's disease based on retinal photographs: a retrospective, multicentre case-control study",2022,10.1016/s2589-7500(22)00169-8,Carol Y. Cheung; An Ran Ran; Shujun Wang; Victor T.T. Chan; Kaiser Sham; Saima Hilal; Narayanaswamy Venketasubramanian; Ching‐Yu Cheng; Charumathi Sabanayagam; Yih Chung Tham; Leopold Schmetterer; Gareth J. McKay; Michael Williams; Adrian Wong; Lisa Au; Zhihui Lu; Jason C. Yam; Clement C. Tham; John J. Chen; Oana Dumitrașcu; Pheng‐Ann Heng; Timothy Kwok; Vincent Mok; Dan Miléa; Christopher Chen; Tien Yin Wong,The Lancet Digital Health,collected:openalex,deep_learning; unsupervised_domain_adaptation,case_control_study,retinal photographs from 648 patients with Alzheimer's disease and 3240 individuals without the disease across 11 clinical studies,The deep learning model achieved 83.6% accuracy and demonstrated potential for screening Alzheimer's disease in community settings.,"The model requires further validation with larger, more diverse populations to ensure generalizability.","[{""quote"": ""A retinal photograph-based deep learning algorithm can detect Alzheimer's disease with good accuracy, showing its potential for screening Alzheimer's disease in a community setting."", ""section"": ""abstract"", ""reason"": ""This quote encapsulates the main finding and significance of the study.""}]",Future research should explore the integration of additional biomarkers to enhance detection accuracy.,abstract; results,
