paper_id,field,value,issue,severity,detail
10_1016_j_media_2020_101694,methodology,systematic_literature_review,review_value_dropped,warning,dropped_by_review
10_1016_j_neuroimage_2020_117203,methodology,minimal_recurrent_neural_network,review_value_dropped,warning,dropped_by_review
10_1016_j_neuroimage_2020_117203,methodology,imputation_strategies,review_value_dropped,warning,dropped_by_review
10_1016_j_irbm_2020_06_006,methodology,deep_convolution_neural_network,review_value_mapped,warning,mapped_to=convolutional_neural_network
10_1016_j_cmpb_2021_106032,methodology,depthwise_separable_convolutional_neural_networks,review_value_mapped,warning,mapped_to=convolutional_neural_network
10_1016_s2589_7500(22)00169_8,methodology,unsupervised_domain_adaptation,review_value_dropped,warning,dropped_by_review
10_1016_j_jbi_2020_103411,methodology,deep_ensemble_learning,review_value_mapped,warning,mapped_to=ensemble_learning
10_1016_j_jbi_2020_103411,methodology,classification,review_value_dropped,warning,dropped_by_review
10_1093_jamia_ocac168,methodology,cross_modal_attention,review_value_dropped,warning,dropped_by_review
10_1016_j_compbiomed_2021_105032,methodology,deep_ensemble,review_value_mapped,warning,mapped_to=ensemble_learning
10_1016_j_neucom_2020_01_053,methodology,4d_fmri,review_value_dropped,warning,dropped_by_review
10_1002_alz_12032,methodology,support_vector_regression,review_value_dropped,warning,dropped_by_review
10_1111_nan_12759,methodology,random_forest_classifiers,review_value_mapped,warning,mapped_to=random_forest
10_1016_j_arr_2024_102497,methodology,ai_driven_innovations,review_value_dropped,warning,dropped_by_review
10_1016_j_arr_2024_102497,methodology,prognostic_modelling,review_value_mapped,warning,mapped_to=prognostic_modeling
10_1109_jbhi_2021_3053568,methodology,meta_learning,review_value_dropped,warning,dropped_by_review
10_1016_j_compbiomed_2023_107328,methodology,multi_modal_graph_neural_network,review_value_mapped,warning,mapped_to=graph_neural_network
10_1109_icaccs48705_2020_9074248,venue,,recommended_metadata_missing,warning,
10_1109_tfuzz_2024_3409412,methodology,fuzzy_deep_learning,review_value_dropped,warning,dropped_by_review
10_1109_icscds53736_2022_9760858,methodology,layer_wise_relevance_propagation,review_value_dropped,warning,dropped_by_review
10_1109_icscds53736_2022_9760858,methodology,cnn,review_value_mapped,warning,mapped_to=convolutional_neural_network
10_1016_j_compbiomed_2022_106240,methodology,multi_label_classification,review_value_dropped,warning,dropped_by_review
10_1016_j_measurement_2020_108838,methodology,deep_convolutional_neural_network,review_value_mapped,warning,mapped_to=convolutional_neural_network
10_1016_j_measurement_2020_108838,methodology,computer_aided_diagnosis,review_value_dropped,warning,dropped_by_review
10_3389_fpubh_2020_584387,methodology,cascade_neural_network,review_value_dropped,warning,dropped_by_review
10_3389_fpubh_2020_584387,methodology,attention_based_spatial_temporal_graph,review_value_dropped,warning,dropped_by_review
10_1109_jerm_2021_3096172,methodology,rf_signals,review_value_dropped,warning,dropped_by_review
10_1016_j_sab_2020_105931,methodology,laser_induced_breakdown_spectroscopy,review_value_dropped,warning,dropped_by_review
10_1109_cbms49503_2020_00020,venue,,recommended_metadata_missing,warning,
10_1109_cbms49503_2020_00020,methodology,3d_convolutional_neural_network,review_value_mapped,warning,mapped_to=convolutional_neural_network
10_3389_fneur_2020_576194,methodology,conventional_machine_learning,review_value_mapped,warning,mapped_to=machine_learning
10_1007_s12021_023_09625_7,methodology,neuro_imaging,review_value_mapped,warning,mapped_to=neuroimaging_analysis
10_1016_j_apsb_2025_07_030,methodology,ai_driven_multi_omics_approaches,review_value_mapped,warning,mapped_to=data_integration
10_3389_fnagi_2022_871706,methodology,3d_convolution_neural_network,review_value_mapped,warning,mapped_to=convolutional_neural_network
10_1016_j_compbiomed_2024_109438,methodology,multi_scale_multimodal_deep_learning,review_value_dropped,warning,dropped_by_review
