paper_id,title,year,doi,authors,venue,source,methodology,study_design,dataset_or_sample,key_finding,paper_limitation,direct_quote,future_work_or_gap,evidence_sections_used,extraction_notes
10_1523_jneurosci_2250_06_2006,Alterations in Memory Networks in Mild Cognitive Impairment and Alzheimer's Disease: An Independent Component Analysis,2006,10.1523/jneurosci.2250-06.2006,Kim Celone; Vince D. Calhoun; Bradford C. Dickerson; Alireza Atri; Elizabeth F. Chua; Saul L. Miller; Kristina M. DePeau; Doreen Rentz; Dennis J. Selkoe; Deborah Blacker; Marilyn Albert; Reisa A. Sperling,Journal of Neuroscience,collected:openalex,multivariate_analytic_techniques; independent_component_analysis,observational_study,"52 individuals across normal aging, mild cognitive impairment, and mild Alzheimer’s disease.",Independent component analyses revealed specific memory-related networks that activated or deactivated during an associative memory paradigm.,The nonlinear trajectory of fMRI activation across the continuum of impairment was not fully understood.,"[{""quote"": ""Our findings suggest that loss of functional integrity of the hippocampal-based memory systems is directly related to alterations of neural activity in parietal regions seen over the course of MCI and AD."", ""section"": ""abstract"", ""reason"": ""This quote highlights a key conclusion relevant to the understanding of neural activity patterns in Alzheimer's.""}]",unclear,abstract; title; methodology,
10_1016_j_neuroimage_2014_06_077,Hierarchical feature representation and multimodal fusion with deep learning for AD/MCI diagnosis,2014,10.1016/j.neuroimage.2014.06.077,Heung‐Il Suk; Seong‐Whan Lee; Dinggang Shen,NeuroImage,collected:openalex,deep_learning,unclear,unclear,unclear,unclear,[],unclear,,
10_1016_j_neuroimage_2019_01_031,A parameter-efficient deep learning approach to predict conversion from mild cognitive impairment to Alzheimer's disease,2019,10.1016/j.neuroimage.2019.01.031,S Spasov; Luca Passamonti; Andrea Duggento; Píetro Lió; Nicola Toschi,NeuroImage,collected:openalex,deep_learning,observational_study,unclear,unclear,unclear,[],unclear,,
10_1371_journal_pcbi_1000100,Network Analysis of Intrinsic Functional Brain Connectivity in Alzheimer's Disease,2008,10.1371/journal.pcbi.1000100,Kaustubh Supekar; Vinod Menon; Daniel J. Rubin; Mark A. Musen; Michael D. Greicius,PLoS Computational Biology,collected:openalex,wavelet_analysis; graph_analysis,observational_study,Task-free fMRI data from 21 AD subjects and 18 age-matched controls.,Functional brain networks in Alzheimer's disease showed disrupted small-world properties compared to controls.,The study's findings are limited by the small sample size of participants.,"[{""quote"": ""Our study provides new evidence that there is disrupted organization of functional brain networks in AD."", ""section"": ""abstract"", ""reason"": ""This quote succinctly summarizes the main conclusion of the paper.""}]",Future research could explore the potential of small-world metrics as reliable biomarkers for Alzheimer's disease.,abstract; methods; results,
10_1109_isbi_2014_6868045,Early diagnosis of Alzheimer's disease with deep learning,2014,10.1109/isbi.2014.6868045,Siqi Liu; Sidong Liu; Weidong Cai; Sonia Pujol; Ron Kikinis; Dagan Feng,,collected:openalex,deep_learning; machine_learning,experimental_study,Mild Cognitive Impairment (MCI) patients,A deep learning architecture significantly improves classification performance for diagnosing Alzheimer's disease and Mild Cognitive Impairment.,The diagnosis performance was limited by congenital limitations of the chosen learning models.,"[{""quote"": ""The accurate diagnosis of Alzheimer's disease (AD) plays a significant role in patient care..."", ""section"": ""abstract"", ""reason"": ""This quote captures the importance of early diagnosis and the paper's context.""}]",Further research is needed to address the congenital limitations in learning models.,abstract; title,
10_1007_978_3_642_40763_5_72,Deep Learning-Based Feature Representation for AD/MCI Classification,2013,10.1007/978-3-642-40763-5_72,Heung‐Il Suk; Dinggang Shen,Lecture notes in computer science,collected:openalex,deep_learning,unclear,unclear,unclear,unclear,[],unclear,title,
10_3389_fnagi_2019_00220,Deep Learning in Alzheimer's Disease: Diagnostic Classification and Prognostic Prediction Using Neuroimaging Data,2019,10.3389/fnagi.2019.00220,Taeho Jo; Kwangsik Nho; Andrew J. Saykin,Frontiers in Aging Neuroscience,collected:openalex,deep_learning; neuroimaging,secondary_data_analysis,Publications from PubMed and Google Scholar; 16 studies analyzed.,Deep learning approaches can achieve accuracies of up to 98.8% for Alzheimer's disease classification.,unclear,[],Future research should focus on integrating hybrid data types to improve deep learning approaches.,abstract; methodology,
10_1186_1471_2202_10_101,Functional neural network analysis in frontotemporal dementia and Alzheimer's disease using EEG and graph theory,2009,10.1186/1471-2202-10-101,Willem de Haan; Yolande A.L. Pijnenburg; R.L.M. Strijers; Yolande van der Made; Wiesje M. van der Flier; Philip Scheltens; Cornelis J. Stam,BMC Neuroscience,collected:openalex,graph_theory; eeg,observational_study,20 patients with mild to moderate AD; 15 FTLD patients,"In Alzheimer's disease, the clustering coefficient and characteristic path length of functional brain networks decrease, suggesting a transition to a more random network structure.",No significant differences in network measures were found for FTLD compared to controls.,[],unclear,abstract; key_finding; study_design; methodology,
10_1016_j_neuroimage_2014_10_002,Machine learning framework for early MRI-based Alzheimer's conversion prediction in MCI subjects,2014,10.1016/j.neuroimage.2014.10.002,Elaheh Moradi; Antonietta Pepe; Christian Gaser; Heikki Huttunen; Jussi Tohka,NeuroImage,collected:openalex,machine_learning,unclear,unclear,unclear,unclear,[],unclear,,
10_1148_radiol_10100734,"Classification of Alzheimer Disease, Mild Cognitive Impairment, and Normal Cognitive Status with Large-Scale Network Analysis Based on Resting-State Functional MR Imaging",2011,10.1148/radiol.10100734,Gang Chen; B. Douglas Ward; Chunming Xie; Wenjun Li; Zhilin Wu; Jennifer Jones; Malgorzata Franczak; Piero Antuono; Shi-Jiang Li,Radiology,collected:openalex,large_scale_network_analysis; resting_state_functional_mr_imaging,observational_study,"55 subjects with clinically diagnosed Alzheimer disease, mild cognitive impairment, and normal cognitive function.","Large-scale network analysis can effectively classify subjects with Alzheimer disease, mild cognitive impairment, and normal cognitive status with high sensitivity and specificity.",Study limited by small sample size; future research is needed to validate findings with larger cohorts.,"[{""quote"": ""LSN analysis revealed that interconnectivity patterns of brain regions can be used to classify subjects with AD."", ""section"": ""abstract"", ""reason"": ""Highlights the effectiveness of the presented methodology.""}]",Further validation of LSN analysis methods in larger and more diverse populations.,abstract; methods; results,
