paper_id,title,doi,full_text_status,full_text_source,full_text_url,full_text_license,full_text_text_path,full_text_chars,full_text_error,full_text_manual_lookup_url
10_1523_jneurosci_2250_06_2006,Alterations in Memory Networks in Mild Cognitive Impairment and Alzheimer's Disease: An Independent Component Analysis,10.1523/jneurosci.2250-06.2006,pdf_text_extracted,europe_pmc,https://europepmc.org/api/getPdf?pmcid=PMC6674636,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1523_jneurosci_2250_06_2006_4f20def0ee2955be.txt,65251,,
10_1016_j_neuroimage_2014_06_077,Hierarchical feature representation and multimodal fusion with deep learning for AD/MCI diagnosis,10.1016/j.neuroimage.2014.06.077,extraction_failed,,,,,0,provider_metadata https://linkinghub.elsevier.com/retrieve/pii/S1053811914005540: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S1053811914005540 | provider_metadata https://doi.org/10.1016/j.neuroimage.2014.06.077: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S1053811914005540 | europe_pmc https://europepmc.org/articles/PMC4165842?pdf=render: HTTPError: HTTP Error 500: ,https://scholar.google.com/scholar?q=10.1016/j.neuroimage.2014.06.077
10_1016_j_neuroimage_2019_01_031,A parameter-efficient deep learning approach to predict conversion from mild cognitive impairment to Alzheimer's disease,10.1016/j.neuroimage.2019.01.031,extraction_failed,,,,,0,provider_metadata https://linkinghub.elsevier.com/retrieve/pii/S105381191930031X: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S105381191930031X | provider_metadata https://doi.org/10.1016/j.neuroimage.2019.01.031: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S105381191930031X | unpaywall https://www.sciencedirect.com/science/article/am/pii/S105381191930031X?via%3Dihub: HTTPError: HTTP Error 403: Forbidden | core https://core.ac.uk/works/78543866: TimeoutError: The read operation timed out,https://scholar.google.com/scholar?q=10.1016/j.neuroimage.2019.01.031
10_1371_journal_pcbi_1000100,Network Analysis of Intrinsic Functional Brain Connectivity in Alzheimer's Disease,10.1371/journal.pcbi.1000100,pdf_text_extracted,provider_metadata,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1000100&type=printable,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1371_journal_pcbi_1000100_bbf4e4c06276944e.txt,58471,,
10_1109_isbi_2014_6868045,Early diagnosis of Alzheimer's disease with deep learning,10.1109/isbi.2014.6868045,extraction_failed,,,,,0,provider_metadata https://ieeexplore.ieee.org/document/6868045/: ValueError: Extracted text too short for full-text tagging (0 chars) from https://ieeexplore.ieee.org/document/6868045/ | provider_metadata https://doi.org/10.1109/isbi.2014.6868045: ValueError: Extracted text too short for full-text tagging (0 chars) from https://ieeexplore.ieee.org/document/6868045/ | core https://core.ac.uk/works/118946128: TimeoutError: The read operation timed out,https://scholar.google.com/scholar?q=10.1109/isbi.2014.6868045
10_1007_978_3_642_40763_5_72,Deep Learning-Based Feature Representation for AD/MCI Classification,10.1007/978-3-642-40763-5_72,landing_pdf_text_extracted,provider_metadata,https://link.springer.com/content/pdf/10.1007/978-3-642-40763-5.pdf?error=cookies_not_supported&code=be67e228-ada1-4bea-820b-0083bafa22c1,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1007_978_3_642_40763_5_72_9e24effc0f97331c.txt,1917782,,
10_3389_fnagi_2019_00220,Deep Learning in Alzheimer's Disease: Diagnostic Classification and Prognostic Prediction Using Neuroimaging Data,10.3389/fnagi.2019.00220,landing_pdf_text_extracted,provider_metadata,https://www.frontiersin.org/journals/aging-neuroscience/articles/10.3389/fnagi.2019.00220/pdf,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3389_fnagi_2019_00220_cbff70705d42af10.txt,61912,,
10_1186_s13195_021_00900_w,Machine learning methods for predicting progression from mild cognitive impairment to Alzheimer’s disease dementia: a systematic review,10.1186/s13195-021-00900-w,pdf_text_extracted,provider_metadata,https://link.springer.com/content/pdf/10.1186/s13195-021-00900-w.pdf?error=cookies_not_supported&code=aa8892bd-d7a1-4ae8-9830-15b47b9ca68f,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1186_s13195_021_00900_w_4c1da8852c111200.txt,115534,,
10_1109_access_2021_3090474,DEMNET: A Deep Learning Model for Early Diagnosis of Alzheimer Diseases and Dementia From MR Images,10.1109/access.2021.3090474,extraction_failed,,,,,0,provider_metadata https://ieeexplore.ieee.org/ielx7/6287639/9312710/09459692.pdf: HTTPError: HTTP Error 502: Bad Gateway | provider_metadata https://doi.org/10.1109/access.2021.3090474: ValueError: Extracted text too short for full-text tagging (0 chars) from https://ieeexplore.ieee.org/document/9459692/ | unpaywall https://doaj.org/article/e336c6e0dec142fca5212ccd45e938c1: HTTPError: HTTP Error 403: Forbidden | core https://core.ac.uk/works/163032830: TimeoutError: The read operation timed out,https://scholar.google.com/scholar?q=10.1109/access.2021.3090474
10_1186_1471_2202_10_101,Functional neural network analysis in frontotemporal dementia and Alzheimer's disease using EEG and graph theory,10.1186/1471-2202-10-101,pdf_text_extracted,provider_metadata,https://link.springer.com/content/pdf/10.1186/1471-2202-10-101.pdf?error=cookies_not_supported&code=bebc92cf-389a-410d-8922-4b4127dc58df,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1186_1471_2202_10_101_f1a8b5c6a7144ccd.txt,49958,,
