paper_id,title,year,doi,main_knowledge_claim,main_topic_category,research_target,study_type,knowledge_confidence,review_status
10_1016_j_watres_2019_02_054,Microplastics in freshwaters and drinking water: Critical review and assessment of data quality,2019,10.1016/j.watres.2019.02.054,This paper assesses the quality of studies on microplastics in drinking water and discusses the implications for human health.,core_topic,human_health,review,low,ai_tagged
10_60810_openumwelt_3831,Microplastics in drinking-water,2019,10.60810/openumwelt-3831,This paper examines the presence of microplastics in drinking water and their potential human health impacts.,core_topic,human_health,review,medium,ai_tagged
10_1016_j_coesh_2018_12_001,Microplastics in drinking water: A review and assessment,2018,10.1016/j.coesh.2018.12.001,This paper reviews the evidence of microplastics in drinking water and assesses their potential implications for human health.,core_topic,human_health,review,medium,ai_tagged
10_1016_j_watres_2020_116519,Drinking plastics? – Quantification and qualification of microplastics in drinking water distribution systems by µFTIR and Py-GCMS,2020,10.1016/j.watres.2020.116519,"This paper assesses the presence and quantification of microplastics in drinking water distribution systems, emphasizing the potential human health risks associated with microplastic exposure.",core_topic,human_health,empirical,low,ai_tagged
10_1007_s11356_021_13769_x,"Presence of microplastics in drinking water from freshwater sources: the investigation in Changsha, China",2021,10.1007/s11356-021-13769-x,"The paper investigates the presence and concentration of microplastics in drinking water sourced from freshwater in Changsha, China, highlighting potential risks related to human health.",core_topic,human_health,empirical,low,ai_tagged
10_1007_s10661_021_09132_9,The occurrence and dietary intake related to the presence of microplastics in drinking water in Saudi Arabia,2021,10.1007/s10661-021-09132-9,This paper investigates the presence of microplastics in drinking water in Saudi Arabia and evaluates potential dietary intake related to these contaminants.,core_topic,human_health,empirical,low,ai_tagged
10_1016_j_scitotenv_2018_08_178,Low numbers of microplastics detected in drinking water from ground water sources,2018,10.1016/j.scitotenv.2018.08.178,"This paper assesses the prevalence of microplastics in drinking water sourced from groundwater, directly relating to human health.",core_topic,human_health,empirical,low,ai_tagged
10_1007_s00216_021_03498_y,Analysis of microplastics in drinking water and other clean water samples with micro-Raman and micro-infrared spectroscopy: minimum requirements and best practice guidelines,2021,10.1007/s00216-021-03498-y,This paper provides guidelines for the analysis of microplastics in drinking water using spectroscopic methods to enhance the reliability of testing and facilitate comparability across studies.,core_topic,human_health,method,medium,ai_tagged
10_1016_j_cofs_2021_02_011,Microplastics in drinking water? Present state of knowledge and open questions,2021,10.1016/j.cofs.2021.02.011,This paper reviews the current state of knowledge regarding microplastics in drinking water and raises open questions related to potential human health risks.,core_topic,human_health,review,low,ai_tagged
10_2166_ws_2022_189,Microplastics in drinking water: a macro issue,2022,10.2166/ws.2022.189,"This paper discusses the prevalence of microplastics in drinking water and their potential adverse effects on human health, along with their contaminant transport ability and removal technologies.",core_topic,human_health,unclear,low,ai_tagged
10_1016_j_chemosphere_2022_134282,Monitoring microplastics in drinking water: An interlaboratory study to inform effective methods for quantifying and characterizing microplastics,2022,10.1016/j.chemosphere.2022.134282,"The paper presents an interlaboratory study aimed at informing effective methods for quantifying and characterizing microplastics in drinking water, which is relevant to assessing human health risks.",core_topic,human_health,method,very_low,ai_tagged
10_1016_j_chemosphere_2021_132587,Conventional and biological treatment for the removal of microplastics from drinking water,2021,10.1016/j.chemosphere.2021.132587,"The paper addresses the conventional and biological treatment methods for removing microplastics from drinking water, contributing to understanding human health risks associated with microplastics.",core_topic,human_health,method,medium,ai_tagged
10_1016_j_chemosphere_2020_126493,Occurrence and identification of microplastics in tap water from China,2020,10.1016/j.chemosphere.2020.126493,"The paper identifies the occurrence of microplastics in tap water from China, contributing to understanding potential human health risks associated with drinking water contamination.",core_topic,human_health,empirical,low,ai_tagged
10_3390_ijerph19095283,Occurrence of Microplastics in Tap and Bottled Water: Current Knowledge,2022,10.3390/ijerph19095283,This paper assesses the presence of microplastics in drinking water and discusses their potential human health risks.,core_topic,human_health,empirical,medium,ai_tagged
10_1016_j_scitotenv_2022_161274,"Occurrence of microplastics in tap and bottled water, and food packaging: A narrative review on current knowledge",2022,10.1016/j.scitotenv.2022.161274,"This paper provides a narrative review of the presence of microplastics in tap and bottled water, discussing their implications for human health risks.",core_topic,human_health,review,low,ai_tagged
10_1080_00032719_2019_1705476,"Distribution Characteristics and Influencing Factors of Microplastics in Urban Tap Water and Water Sources in Qingdao, China",2019,10.1080/00032719.2019.1705476,The study analyzes the distribution and characteristics of microplastics in drinking water and assesses their potential human health risks.,core_topic,human_health,empirical,medium,ai_tagged
10_1007_s10661_021_09012_2,"Abundance and characteristics of microplastics in freshwater and treated tap water in Bangkok, Thailand",2021,10.1007/s10661-021-09012-2,"This study assesses the abundance and characteristics of microplastics in freshwater and treated tap water in Bangkok, highlighting potential contamination concerns relevant to human health risks.",core_topic,human_health,empirical,low,ai_tagged
10_3390_w13152097,A Study of Microplastic Particles in Danish Tap Water,2021,10.3390/w13152097,The paper investigates the presence of microplastics in Danish drinking water and discusses potential human exposure pathways.,core_topic,human_health,empirical,low,ai_tagged
10_1007_s11356_021_13220_1,"Microplastics from headwaters to tap water: occurrence and removal in a drinking water treatment plant in Barcelona Metropolitan area (Catalonia, NE Spain)",2021,10.1007/s11356-021-13220-1,"This paper investigates the occurrence and removal of microplastics in drinking water treatment plants, highlighting potential human health implications.",core_topic,human_health,empirical,low,ai_tagged
10_1016_j_scitotenv_2023_163866,"Abundance and characteristics of microplastics in drinking water treatment plants, distribution systems, water from refill kiosks, tap waters and bottled waters",2023,10.1016/j.scitotenv.2023.163866,"The study assesses the abundance and characteristics of microplastics in various drinking water treatment contexts, contributing to the understanding of potential human health risks associated with microplastic exposure.",core_topic,human_health,unclear,low,ai_tagged
