paper_id,title,doi,full_text_status,full_text_source,full_text_url,full_text_license,full_text_text_path,full_text_chars,full_text_error,full_text_manual_lookup_url
10_1016_j_watres_2019_02_054,Microplastics in freshwaters and drinking water: Critical review and assessment of data quality,10.1016/j.watres.2019.02.054,html_text_extracted,unpaywall,https://ars.els-cdn.com/content/image/1-s2.0-S0043135419301794-fx1_lrg.jpg,cc-by,/Users/mariehensche/ad_lit_full_text_cache/texts/10_1016_j_watres_2019_02_054_37b91b1ba3747220.txt,127792,,
10_60810_openumwelt_3831,Microplastics in drinking-water,10.60810/openumwelt-3831,html_text_extracted,provider_metadata,https://openumwelt.de/entities/publication/0101ff89-0dd7-4f57-95d6-8feb3fbb3c64,,/Users/mariehensche/ad_lit_full_text_cache/texts/10_60810_openumwelt_3831_7cb4da57248d8d16.txt,1662,,
10_1016_j_coesh_2018_12_001,Microplastics in drinking water: A review and assessment,10.1016/j.coesh.2018.12.001,pdf_text_extracted,core,https://fileserver-az.core.ac.uk/download/668711000.pdf,,/Users/mariehensche/ad_lit_full_text_cache/texts/10_1016_j_coesh_2018_12_001_733c772bbd9cc901.txt,46571,,
10_1016_j_watres_2020_116519,Drinking plastics? – Quantification and qualification of microplastics in drinking water distribution systems by µFTIR and Py-GCMS,10.1016/j.watres.2020.116519,pdf_text_extracted,unpaywall,https://vbn.aau.dk/ws/files/466875584/Drinking_plastics.pdf,cc-by-nc-nd,/Users/mariehensche/ad_lit_full_text_cache/texts/10_1016_j_watres_2020_116519_6721039f79dd320a.txt,54156,,
10_1007_s11356_021_13769_x,"Presence of microplastics in drinking water from freshwater sources: the investigation in Changsha, China",10.1007/s11356-021-13769-x,html_text_extracted,provider_metadata,https://link.springer.com/article/10.1007/s11356-021-13769-x?error=cookies_not_supported&code=99bce454-7330-41c7-8646-bcaa265e461b,,/Users/mariehensche/ad_lit_full_text_cache/texts/10_1007_s11356_021_13769_x_f3ae596521b98d1e.txt,18345,,
10_1007_s10661_021_09132_9,The occurrence and dietary intake related to the presence of microplastics in drinking water in Saudi Arabia,10.1007/s10661-021-09132-9,html_text_extracted,provider_metadata,https://link.springer.com/article/10.1007/s10661-021-09132-9?error=cookies_not_supported&code=6ff19790-c771-4dbc-842a-801859bdd556,,/Users/mariehensche/ad_lit_full_text_cache/texts/10_1007_s10661_021_09132_9_dd6d29b37d95bc38.txt,19464,,
10_1016_j_scitotenv_2018_08_178,Low numbers of microplastics detected in drinking water from ground water sources,10.1016/j.scitotenv.2018.08.178,html_text_extracted,unpaywall,https://ars.els-cdn.com/content/image/1-s2.0-S0048969718331425-ga1_lrg.jpg,,/Users/mariehensche/ad_lit_full_text_cache/texts/10_1016_j_scitotenv_2018_08_178_26aa861adbc6b28f.txt,78625,,
10_1007_s00216_021_03498_y,Analysis of microplastics in drinking water and other clean water samples with micro-Raman and micro-infrared spectroscopy: minimum requirements and best practice guidelines,10.1007/s00216-021-03498-y,landing_pdf_text_extracted,provider_metadata,https://link.springer.com/content/pdf/10.1007/s00216-021-03498-y.pdf?error=cookies_not_supported&code=7bb9a41a-b8c6-4e11-b4a3-4fc850313e37,,/Users/mariehensche/ad_lit_full_text_cache/texts/10_1007_s00216_021_03498_y_31cb608bc073629b.txt,137685,,
10_1016_j_cofs_2021_02_011,Microplastics in drinking water? Present state of knowledge and open questions,10.1016/j.cofs.2021.02.011,extraction_failed,,,,,0,provider_metadata https://doi.org/10.1016/j.cofs.2021.02.011: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S2214799321000333,https://scholar.google.com/scholar?q=10.1016/j.cofs.2021.02.011
10_2166_ws_2022_189,Microplastics in drinking water: a macro issue,10.2166/ws.2022.189,html_text_extracted,core,https://core.ac.uk/works/232055066/,,/Users/mariehensche/ad_lit_full_text_cache/texts/10_2166_ws_2022_189_f3493b5ee4665906.txt,1585,,
