title,categoric,semantic,paper_id,year,doi,main_topic_category,research_target,study_type,knowledge_confidence,review_status
Microplastics in freshwaters and drinking water: Critical review and assessment of data quality,core_topic,This paper assesses the quality of studies on microplastics in drinking water and discusses the implications for human health.,10_1016_j_watres_2019_02_054,2019,10.1016/j.watres.2019.02.054,core_topic,human_health,review,low,ai_tagged
Microplastics in drinking-water,core_topic,This paper examines the presence of microplastics in drinking water and their potential human health impacts.,10_60810_openumwelt_3831,2019,10.60810/openumwelt-3831,core_topic,human_health,review,medium,ai_tagged
Microplastics in drinking water: A review and assessment,core_topic,This paper reviews the evidence of microplastics in drinking water and assesses their potential implications for human health.,10_1016_j_coesh_2018_12_001,2018,10.1016/j.coesh.2018.12.001,core_topic,human_health,review,medium,ai_tagged
Drinking plastics? – Quantification and qualification of microplastics in drinking water distribution systems by µFTIR and Py-GCMS,core_topic,"This paper assesses the presence and quantification of microplastics in drinking water distribution systems, emphasizing the potential human health risks associated with microplastic exposure.",10_1016_j_watres_2020_116519,2020,10.1016/j.watres.2020.116519,core_topic,human_health,empirical,low,ai_tagged
"Presence of microplastics in drinking water from freshwater sources: the investigation in Changsha, China",core_topic,"The paper investigates the presence and concentration of microplastics in drinking water sourced from freshwater in Changsha, China, highlighting potential risks related to human health.",10_1007_s11356_021_13769_x,2021,10.1007/s11356-021-13769-x,core_topic,human_health,empirical,low,ai_tagged
The occurrence and dietary intake related to the presence of microplastics in drinking water in Saudi Arabia,core_topic,This paper investigates the presence of microplastics in drinking water in Saudi Arabia and evaluates potential dietary intake related to these contaminants.,10_1007_s10661_021_09132_9,2021,10.1007/s10661-021-09132-9,core_topic,human_health,empirical,low,ai_tagged
Low numbers of microplastics detected in drinking water from ground water sources,core_topic,"This paper assesses the prevalence of microplastics in drinking water sourced from groundwater, directly relating to human health.",10_1016_j_scitotenv_2018_08_178,2018,10.1016/j.scitotenv.2018.08.178,core_topic,human_health,empirical,low,ai_tagged
Analysis of microplastics in drinking water and other clean water samples with micro-Raman and micro-infrared spectroscopy: minimum requirements and best practice guidelines,core_topic,This paper provides guidelines for the analysis of microplastics in drinking water using spectroscopic methods to enhance the reliability of testing and facilitate comparability across studies.,10_1007_s00216_021_03498_y,2021,10.1007/s00216-021-03498-y,core_topic,human_health,method,medium,ai_tagged
Microplastics in drinking water? Present state of knowledge and open questions,core_topic,This paper reviews the current state of knowledge regarding microplastics in drinking water and raises open questions related to potential human health risks.,10_1016_j_cofs_2021_02_011,2021,10.1016/j.cofs.2021.02.011,core_topic,human_health,review,low,ai_tagged
Microplastics in drinking water: a macro issue,core_topic,"This paper discusses the prevalence of microplastics in drinking water and their potential adverse effects on human health, along with their contaminant transport ability and removal technologies.",10_2166_ws_2022_189,2022,10.2166/ws.2022.189,core_topic,human_health,unclear,low,ai_tagged
Monitoring microplastics in drinking water: An interlaboratory study to inform effective methods for quantifying and characterizing microplastics,core_topic,"The paper presents an interlaboratory study aimed at informing effective methods for quantifying and characterizing microplastics in drinking water, which is relevant to assessing human health risks.",10_1016_j_chemosphere_2022_134282,2022,10.1016/j.chemosphere.2022.134282,core_topic,human_health,method,very_low,ai_tagged
