paper_id,title,year,doi,abstract,authors,venue,url,source,full_text_path,notes,abstract_available,full_text_available,metadata_notes,scope_decision,scope_reason,scope_matched_include_terms,scope_matched_exclude_terms
10_1016_j_watres_2019_02_054,Microplastics in freshwaters and drinking water: Critical review and assessment of data quality,2019,10.1016/j.watres.2019.02.054,"Microplastics have recently been detected in drinking water as well as in drinking water sources. This presence has triggered discussions on possible implications for human health. However, there have been questions regarding the quality of these occurrence studies since there are no standard sampling, extraction and identification methods for microplastics. Accordingly, we assessed the quality of fifty studies researching microplastics in drinking water and in its major freshwater sources. This includes an assessment of microplastic occurrence data from river and lake water, groundwater, tap water and bottled drinking water. Studies of occurrence in wastewater were also reviewed. We review and propose best practices to sample, extract and detect microplastics and provide a quantitative quality assessment of studies reporting microplastic concentrations. Further, we summarize the findings related to microplastic concentrations, polymer types and particle shapes. Microplastics are frequently present in freshwaters and drinking water, and number concentrations spanned ten orders of magnitude (1 × 10−2 to 108 #/m3) across individual samples and water types. However, only four out of 50 studies received positive scores for all proposed quality criteria, implying there is a significant need to improve quality assurance of microplastic sampling and analysis in water samples. The order in globally detected polymers in these studies is PE ≈ PP > PS > PVC > PET, which probably reflects the global plastic demand and a higher tendency for PVC and PET to settle as a result of their higher densities. Fragments, fibres, film, foam and pellets were the most frequently reported shapes. We conclude that more high quality data is needed on the occurrence of microplastics in drinking water, to better understand potential exposure and to inform human health risk assessments.",Albert A. Koelmans; Nur Hazimah Mohamed Nor; Enya Hermsen; Merel Kooi; Svenja M. Mintenig; Jennifer De France,Water Research,https://doi.org/10.1016/j.watres.2019.02.054,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W2918895016; source_rank=1; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title includes the anchor topic and both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.1016/j.watres.2019.02.054; duplicate_count=8,yes,no,missing_full_text_path,include,"Matched include term(s): microplastic presence, microplastic health risks, drinking water contamination, human exposure microplastics, risk assessment microplastics, health impacts of plastics, health outcomes microplastics, tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, microplastics assessment methods, environmental pollution drinking water, human health, review",microplastic presence; microplastic health risks; drinking water contamination; human exposure microplastics; risk assessment microplastics; health impacts of plastics; health outcomes microplastics; tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; microplastics assessment methods; environmental pollution drinking water; human health; review,
10_60810_openumwelt_3831,Microplastics in drinking-water,2019,10.60810/openumwelt-3831,"Studies reporting the presence of microplastics in treated tap and bottled water have raised questions and concerns about the impact that microplastics in drinking-water might have on human health. This report critically examines the evidence related to the occurrence of microplastics in the water cycle (including both tap and bottled drinking-water and its sources), the potential health impacts from microplastic exposure and the removal of microplastics during wastewater and drinking-water treatment. Recommendations are made with respect to monitoring and management of microplastics and plastics in the environment, and to better assess human health risks and inform appropriate management actions, a number of key knowledge gaps are identified. © 2019 WHO","P. Marsden; Koelmans, Bart; Julie Bourdon-Lacombe",Socio-Environmental Systems Modeling,https://doi.org/10.60810/openumwelt-3831,collected:openalex,,"provider=openalex; provider_id=https://openalex.org/W2972951570; source_rank=2; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title directly addresses microplastics in drinking water, matching both the anchor topic and all main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.60810/openumwelt-3831; duplicate_count=2",yes,no,missing_full_text_path,include,"Matched include term(s): microplastic presence, microplastic health risks, drinking water contamination, human exposure microplastics, risk assessment microplastics, health impacts of plastics, health outcomes microplastics, tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, water treatment challenges, removal techniques for microplastics, environmental pollution drinking water, human health",microplastic presence; microplastic health risks; drinking water contamination; human exposure microplastics; risk assessment microplastics; health impacts of plastics; health outcomes microplastics; tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; water treatment challenges; removal techniques for microplastics; environmental pollution drinking water; human health,
10_1016_j_coesh_2018_12_001,Microplastics in drinking water: A review and assessment,2018,10.1016/j.coesh.2018.12.001,,Dafne Eerkes‐Medrano; H.A. Leslie; Brian Quinn,Current Opinion in Environmental Science & Health,https://doi.org/10.1016/j.coesh.2018.12.001,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W2904867265; source_rank=5; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains the anchor topic and both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.1016/j.coesh.2018.12.001; duplicate_count=2,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): drinking water contamination, risk assessment microplastics, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, microplastics assessment methods, environmental pollution drinking water, review",drinking water contamination; risk assessment microplastics; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; microplastics assessment methods; environmental pollution drinking water; review,
10_1016_j_watres_2020_116519,Drinking plastics? – Quantification and qualification of microplastics in drinking water distribution systems by µFTIR and Py-GCMS,2020,10.1016/j.watres.2020.116519,"While it seems indisputable that potable water contains microplastics (MP), the actual concentrations are much debated and reported numbers vary many orders of magnitude. It is difficult to pinpoint the cause of these differences, but it might be variation between waters, variation between quantification methods, and that some studies did not live up to rigorous analytical standards. Despite the urgent need to understand human exposure by drinking water, there is a lack of trustable methods generating reliable data. Essentially, proper MP assessment requires that quality assurance is in place and demonstrated, that an adequate volume of drinking water is assessed, and that differences in analytical methods are understood. This study presents a systematic and robust approach where MP down to 6.6 µm were assessed in potable water distribution systems in terms of quantity, size, shape, and material. For the first time, sub-samples were analysed by two of the most validated and complementary analytical techniques: µFTIR imaging and Py-GCMS. Both methods successfully determined low contents in drinking water. However, µFTIR and Py-GCMS identified different polymer types in samples with overall low MP content. With increasing concentration of a given polymer type, the values determined by the techniques became more comparable. Most detected MPs were smaller than 150 µm, and 32% were smaller than 20 µm. Our results indicate a potential annual uptake of less than one MP per person, suggesting that drinking potable water produced at a high-performance drinking water treatment plant represents a low risk for human health.",Inga V. Kirstein; Fides Hensel; Alessio Gomiero; Lucian Iordachescu; Alvise Vianello; Hans Bertil Wittgren; Jes Vollertsen,Water Research,https://doi.org/10.1016/j.watres.2020.116519,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W3093039937; source_rank=6; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains both the anchor topic and all main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.1016/j.watres.2020.116519; duplicate_count=3,yes,no,missing_full_text_path,include,"Matched include term(s): microplastic presence, microplastic health risks, drinking water contamination, human exposure microplastics, risk assessment microplastics, health impacts of plastics, health outcomes microplastics, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, microplastics assessment methods, water treatment challenges, removal techniques for microplastics, environmental pollution drinking water, human health, populations at risk",microplastic presence; microplastic health risks; drinking water contamination; human exposure microplastics; risk assessment microplastics; health impacts of plastics; health outcomes microplastics; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; microplastics assessment methods; water treatment challenges; removal techniques for microplastics; environmental pollution drinking water; human health; populations at risk,
10_1007_s11356_021_13769_x,"Presence of microplastics in drinking water from freshwater sources: the investigation in Changsha, China",2021,10.1007/s11356-021-13769-x,,Maocai Shen; Zhuotong Zeng; Xiaofeng Wen; Xiaoya Ren; Guangming Zeng; Yaxin Zhang; Rong Xiao,Environmental Science and Pollution Research,https://doi.org/10.1007/s11356-021-13769-x,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W3146684680; source_rank=7; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The candidate title includes the anchor topic and both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.1007/s11356-021-13769-x; duplicate_count=1,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): microplastic presence, drinking water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, environmental pollution drinking water",microplastic presence; drinking water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; environmental pollution drinking water,
10_1007_s10661_021_09132_9,The occurrence and dietary intake related to the presence of microplastics in drinking water in Saudi Arabia,2021,10.1007/s10661-021-09132-9,,Lama Almaiman; Alaa Aljomah; Mohammed Bineid; Futoon M. Aljeldah; Fahad S. Aldawsari; B. Liebmann; Ievgeniia Lomako; Katharina Sexlinger; Rashed Alarfaj,Environmental Monitoring and Assessment,https://doi.org/10.1007/s10661-021-09132-9,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W3167978712; source_rank=9; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title includes the anchor topic and all main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.1007/s10661-021-09132-9; duplicate_count=1,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): microplastic presence, drinking water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, environmental pollution drinking water",microplastic presence; drinking water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; environmental pollution drinking water,
10_1016_j_scitotenv_2018_08_178,Low numbers of microplastics detected in drinking water from ground water sources,2018,10.1016/j.scitotenv.2018.08.178,,Svenja M. Mintenig; Martin G. J. Löder; Sebastian Primpke; Gunnar Gerdts,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2018.08.178,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W2885232761; source_rank=10; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains the anchor topic and both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.1016/j.scitotenv.2018.08.178; duplicate_count=2,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): drinking water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, environmental pollution drinking water",drinking water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; environmental pollution drinking water,
10_1007_s00216_021_03498_y,Analysis of microplastics in drinking water and other clean water samples with micro-Raman and micro-infrared spectroscopy: minimum requirements and best practice guidelines,2021,10.1007/s00216-021-03498-y,"Microplastics are a widespread contaminant found not only in various natural habitats but also in drinking waters. With spectroscopic methods, the polymer type, number, size, and size distribution as well as the shape of microplastic particles in waters can be determined, which is of great relevance to toxicological studies. Methods used in studies so far show a huge diversity regarding experimental setups and often a lack of certain quality assurance aspects. To overcome these problems, this critical review and consensus paper of 12 European analytical laboratories and institutions, dealing with microplastic particle identification and quantification with spectroscopic methods, gives guidance toward harmonized microplastic particle analysis in clean waters. The aims of this paper are to (i) improve the reliability of microplastic analysis, (ii) facilitate and improve the planning of sample preparation and microplastic detection, and (iii) provide a better understanding regarding the evaluation of already existing studies. With these aims, we hope to make an important step toward harmonization of microplastic particle analysis in clean water samples and, thus, allow the comparability of results obtained in different studies by using similar or harmonized methods. Clean water samples, for the purpose of this paper, are considered to comprise all water samples with low matrix content, in particular drinking, tap, and bottled water, but also other water types such as clean freshwater.",Darena Schymanski; Barbara E. Oßmann; Nizar Benismail; Kada Boukerma; Gerald Dallmann; Elisabeth von der Esch; Dieter Fischer; Franziska Fischer; Douglas Gilliland; Karl Glas; Thomas Hofmann; Andrea Käppler; Sı́lvia Lacorte; Julie Marco; Maria El Rakwe; Jana Weißer; Cordula S. Witzig; Nicole Zumbülte; Natalia P. Ivleva,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-021-03498-y,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W3183588047; source_rank=11; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title includes the anchor topic and both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.1007/s00216-021-03498-y; duplicate_count=1,yes,no,missing_full_text_path,include,"Matched include term(s): drinking water contamination, tap water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, microplastics assessment methods, environmental pollution drinking water, review",drinking water contamination; tap water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; microplastics assessment methods; environmental pollution drinking water; review,
10_1016_j_cofs_2021_02_011,Microplastics in drinking water? Present state of knowledge and open questions,2021,10.1016/j.cofs.2021.02.011,,Barbara E. Oßmann,Current Opinion in Food Science,https://doi.org/10.1016/j.cofs.2021.02.011,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W3131229974; source_rank=13; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title includes the anchor topic and all main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.1016/j.cofs.2021.02.011; duplicate_count=1,no,no,missing_abstract; missing_full_text_path,include,"Matched include term(s): drinking water contamination, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, environmental pollution drinking water",drinking water contamination; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; environmental pollution drinking water,
10_2166_ws_2022_189,Microplastics in drinking water: a macro issue,2022,10.2166/ws.2022.189,"Abstract Microplastics are one of the emerging contaminants that have received attention in recent decades due to their adverse effects on human health and the environment. Though microplastics are primarily found in abundance in oceans, freshwater sources and drinking water are not unaffected. Nevertheless, it is not only the microplastics that are harmful; rather their ability to transport contaminants is another serious issue of concern. The contaminant transport ability is affected by various environmental and physico-chemical parameters of microplastics. Lack of effective and targeted water treatment technologies have led intake of microplastics by humans resulting in a variety of health issues. Even though a few regulatory attempts have been made in the direction of curtailing the production and use of microplastics, there is still a long way to go. This paper focuses on various aspects of microplastics’ presence in drinking water, focusing on their contaminant transport ability, human health risks, removal technologies, and the global scenario of concern.",Surya Singh; Tanwi Trushna; Madhanraj Kalyanasundaram; Ashok J. Tamhankar; Vishal Diwan,Water Science & Technology Water Supply,https://doi.org/10.2166/ws.2022.189,collected:openalex,,provider=openalex; provider_id=https://openalex.org/W4225390979; source_rank=14; retrieval_date=2026-06-02; screening_confidence=high; screening_reason=The title contains the anchor topic and both main topics.; title_anchor_present=yes; title_relevance_tier=0; title_matched_main_topics=microplastics_health_risks; drinking_water_sources; source_query=microplastics in drinking water; source_query_reason=Direct examination of microplastics in drinking water.; dedupe_key=doi:10.2166/ws.2022.189; duplicate_count=1,yes,no,missing_full_text_path,include,"Matched include term(s): microplastic presence, microplastic health risks, drinking water contamination, human exposure microplastics, risk assessment microplastics, microplastics effects, toxic chemical transport, health outcomes microplastics, bottled water microplastics, microplastics in water supply, drinking water quality microplastics, water treatment challenges, removal techniques for microplastics, environmental pollution drinking water, human health, environmental health",microplastic presence; microplastic health risks; drinking water contamination; human exposure microplastics; risk assessment microplastics; microplastics effects; toxic chemical transport; health outcomes microplastics; bottled water microplastics; microplastics in water supply; drinking water quality microplastics; water treatment challenges; removal techniques for microplastics; environmental pollution drinking water; human health; environmental health,
