paper_id,title,doi,provider,provider_id,screening_decision,full_text_availability_status,full_text_availability_source,full_text_url,full_text_url_kind,full_text_url_checked_at,full_text_url_content_type,full_text_license,full_text_is_open_access,full_text_availability_error
10_1016_j_media_2020_101694,Convolutional neural networks for classification of Alzheimer's disease: Overview and reproducible evaluation,10.1016/j.media.2020.101694,openalex,https://openalex.org/W3022315685,include,verified,openalex_best_oa_location,https://linkinghub.elsevier.com/retrieve/pii/S1361841520300591,landing_page,2026-06-19T14:06:28.771254+00:00,text/html;charset=UTF-8,public-domain,yes,
10_3389_fpubh_2022_853294,Early-Stage Alzheimer's Disease Prediction Using Machine Learning Models,10.3389/fpubh.2022.853294,openalex,https://openalex.org/W4214898695,include,verified,openalex_open_access,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.853294/pdf,pdf,2026-06-19T14:06:28.478309+00:00,application/pdf,,yes,
10_3389_fncom_2023_1038636,Conventional machine learning and deep learning in Alzheimer's disease diagnosis using neuroimaging: A review,10.3389/fncom.2023.1038636,openalex,https://openalex.org/W4319321475,include,verified,openalex_open_access,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2023.1038636/pdf,pdf,2026-06-19T14:06:28.478424+00:00,application/pdf,,yes,
10_1016_j_neuroimage_2020_117203,Predicting Alzheimer's disease progression using deep recurrent neural networks,10.1016/j.neuroimage.2020.117203,openalex,https://openalex.org/W3047286661,include,verified,openalex_open_access,https://linkinghub.elsevier.com/retrieve/pii/S1053811920306893,landing_page,2026-06-19T14:06:28.478538+00:00,text/html;charset=UTF-8,,yes,
10_3389_fpubh_2022_834032,Evaluation of Neuro Images for the Diagnosis of Alzheimer's Disease Using Deep Learning Neural Network,10.3389/fpubh.2022.834032,openalex,https://openalex.org/W4210296429,include,verified,openalex_open_access,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.834032/pdf,pdf,2026-06-19T14:06:28.478642+00:00,application/pdf,,yes,
10_1002_alz_13390,Artificial intelligence for biomarker discovery in Alzheimer's disease and dementia,10.1002/alz.13390,openalex,https://openalex.org/W4386347024,include,verified,openalex_open_access,https://onlinelibrary.wiley.com/action/cookieAbsent,pdf,2026-06-19T14:06:28.478762+00:00,text/html;charset=UTF-8,,yes,
10_1109_access_2021_3090474,DEMNET: A Deep Learning Model for Early Diagnosis of Alzheimer Diseases and Dementia From MR Images,10.1109/access.2021.3090474,openalex,https://openalex.org/W3173195087,include,verified,openalex_open_access,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09459692.pdf,pdf,2026-06-19T14:06:28.478833+00:00,application/pdf,,yes,
10_1016_s2589_7500(22)00169_8,"A deep learning model for detection of Alzheimer's disease based on retinal photographs: a retrospective, multicentre case-control study",10.1016/s2589-7500(22)00169-8,openalex,https://openalex.org/W4298127944,include,verified,openalex_open_access,https://linkinghub.elsevier.com/retrieve/pii/S2589750022001698,landing_page,2026-06-19T14:06:28.478894+00:00,text/html;charset=UTF-8,,yes,
10_1093_jamia_ocac168,Multimodal Attention-based Deep Learning for Alzheimer's Disease Diagnosis,10.1093/jamia/ocac168,openalex,https://openalex.org/W4296800293,include,verified,openalex_open_access,https://arxiv.org/pdf/2206.08826,pdf,2026-06-19T14:06:28.742391+00:00,application/pdf,,yes,
10_1016_j_mri_2021_02_001,A 3D densely connected convolution neural network with connection-wise attention mechanism for Alzheimer's disease classification,10.1016/j.mri.2021.02.001,openalex,https://openalex.org/W3131390313,include,verified,openalex_open_access,https://linkinghub.elsevier.com/retrieve/pii/S0730725X21000138,landing_page,2026-06-19T14:06:28.822575+00:00,text/html;charset=UTF-8,,yes,
10_1111_jon_13063,"Functional magnetic resonance imaging, deep learning, and Alzheimer's disease: A systematic review",10.1111/jon.13063,openalex,https://openalex.org/W4306742555,include,verified,openalex_open_access,https://onlinelibrary.wiley.com/action/cookieAbsent,pdf,2026-06-19T14:06:28.822891+00:00,text/html;charset=UTF-8,,yes,
10_3390_brainsci10020084,A Deep Siamese Convolution Neural Network for Multi-Class Classification of Alzheimer Disease,10.3390/brainsci10020084,openalex,https://openalex.org/W3005273529,include,verified,openalex_location,https://pubmed.ncbi.nlm.nih.gov/32033462/,landing_page,2026-06-19T14:06:29.547778+00:00,text/html; charset=utf-8,,no,
10_1016_j_measen_2022_100506,A deep learning based convolutional neural network model with VGG16 feature extractor for the detection of Alzheimer Disease using MRI scans,10.1016/j.measen.2022.100506,openalex,https://openalex.org/W4302028668,include,verified,openalex_open_access,https://linkinghub.elsevier.com/retrieve/pii/S2665917422001404,landing_page,2026-06-19T14:06:28.939503+00:00,text/html;charset=UTF-8,,yes,
10_1186_s41983_022_00571_w,Early prediction of Alzheimer's disease using convolutional neural network: a review,10.1186/s41983-022-00571-w,openalex,https://openalex.org/W4309179914,include,verified,openalex_open_access,https://link.springer.com/content/pdf/10.1186/s41983-022-00571-w.pdf?error=cookies_not_supported&code=03eec428-fceb-4f50-b920-a298c7466d75,pdf,2026-06-19T14:06:28.943483+00:00,application/pdf,,yes,
10_1038_s41598_020_80312_2,Modular machine learning for Alzheimer's disease classification from retinal vasculature,10.1038/s41598-020-80312-2,openalex,https://openalex.org/W3120564489,include,verified,openalex_open_access,https://www.nature.com/articles/s41598-020-80312-2.pdf?error=cookies_not_supported&code=143469ce-3134-46e7-886e-297d4b7e9038,pdf,2026-06-19T14:06:29.010560+00:00,application/pdf,,yes,
10_1038_s41598_020_79243_9,Identification of Alzheimer's disease using a convolutional neural network model based on T1-weighted magnetic resonance imaging,10.1038/s41598-020-79243-9,openalex,https://openalex.org/W3110796009,include,verified,openalex_open_access,https://www.nature.com/articles/s41598-020-79243-9.pdf?error=cookies_not_supported&code=cab8a1ee-cdb5-447c-b28e-67ae99251806,pdf,2026-06-19T14:06:29.064106+00:00,application/pdf,,yes,
10_1016_j_ijcce_2021_12_002,A review of the application of deep learning in the detection of Alzheimer's disease,10.1016/j.ijcce.2021.12.002,openalex,https://openalex.org/W4200576184,include,verified,openalex_open_access,https://linkinghub.elsevier.com/retrieve/pii/S2666307421000280,landing_page,2026-06-19T14:06:29.137359+00:00,text/html;charset=UTF-8,,yes,
10_1016_j_nicl_2021_102712,Cross-cohort generalizability of deep and conventional machine learning for MRI-based diagnosis and prediction of Alzheimer's disease,10.1016/j.nicl.2021.102712,openalex,https://openalex.org/W3167864582,include,verified,openalex_open_access,https://pure.eur.nl/en/publications/cross-cohort-generalizability-of-deep-and-conventional-machine-le/,landing_page,2026-06-19T14:06:29.409802+00:00,text/html;charset=UTF-8,,yes,
10_1002_alz_12032,Predicting sporadic Alzheimer's disease progression via inherited Alzheimer's disease‐informed machine‐learning,10.1002/alz.12032,openalex,https://openalex.org/W3005937372,include,verified,openalex_best_oa_location,https://alz-journals.onlinelibrary.wiley.com/action/cookieAbsent,landing_page,2026-06-19T14:06:30.831368+00:00,text/html;charset=UTF-8,cc-by-nc,yes,
10_1016_j_sbi_2024_102776,Artificial intelligence for drug discovery and development in Alzheimer's disease,10.1016/j.sbi.2024.102776,openalex,https://openalex.org/W4391669524,include,verified,openalex_open_access,https://linkinghub.elsevier.com/retrieve/pii/S0959440X24000034,landing_page,2026-06-19T14:06:29.755810+00:00,text/html;charset=UTF-8,,yes,
10_1111_nan_12759,Deep learning‐based model for diagnosing Alzheimer's disease and tauopathies,10.1111/nan.12759,openalex,https://openalex.org/W3194565976,include,verified,openalex_open_access,https://onlinelibrary.wiley.com/action/cookieAbsent,pdf,2026-06-19T14:06:30.641534+00:00,text/html;charset=UTF-8,,yes,
10_3389_fpubh_2022_772592,A Transfer Learning Method for Detecting Alzheimer's Disease Based on Speech and Natural Language Processing,10.3389/fpubh.2022.772592,openalex,https://openalex.org/W4224068866,include,verified,openalex_open_access,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.772592/pdf,pdf,2026-06-19T14:06:30.967469+00:00,application/pdf,,yes,
10_1109_jbhi_2021_3053568,Auto-Metric Graph Neural Network Based on a Meta-Learning Strategy for the Diagnosis of Alzheimer's Disease,10.1109/jbhi.2021.3053568,openalex,https://openalex.org/W3123893801,include,verified,openalex_primary_location,https://ieeexplore.ieee.org/document/9335007/,landing_page,2026-06-19T14:06:30.975772+00:00,text/html; charset=UTF-8,,no,
10_1109_icaccs48705_2020_9074248,Alzheimer Disease Prediction using Machine Learning Algorithms,10.1109/icaccs48705.2020.9074248,openalex,https://openalex.org/W3018492956,include,verified,openalex_primary_location,https://ieeexplore.ieee.org/document/9074248/,landing_page,2026-06-19T14:06:31.071132+00:00,text/html; charset=UTF-8,,no,
10_1109_tfuzz_2024_3409412,Fuzzy Deep Learning for the Diagnosis of Alzheimer's Disease: Approaches and Challenges,10.1109/tfuzz.2024.3409412,openalex,https://openalex.org/W4399766677,include,verified,openalex_primary_location,https://ieeexplore.ieee.org/document/10561527/,landing_page,2026-06-19T14:06:31.072721+00:00,text/html; charset=UTF-8,,no,
