paper_id,title,doi,full_text_status,full_text_source,full_text_url,full_text_license,full_text_text_path,full_text_chars,full_text_error,full_text_manual_lookup_url
https://openalex.org/W2137777161,The cholinergic hypothesis of Alzheimer's disease: a review of progress,10.1136/jnnp.66.2.137,html_text_extracted,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC1736202/,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1136_jnnp_66_2_137_fef117000e080366.txt,31089,,
https://openalex.org/W2137777161,The cholinergic hypothesis of Alzheimer's disease: a review of progress,10.1136/jnnp.66.2.137,pdf_text_extracted,europe_pmc,https://europepmc.org/api/getPdf?pmcid=PMC1736202,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1136_jnnp_66_2_137_ee4efd2a1d8d8e3b.txt,65704,,
https://openalex.org/W2664267452,"Artificial intelligence in healthcare: past, present and future",10.1136/svn-2017-000101,pdf_text_extracted,europe_pmc,https://europepmc.org/api/getPdf?pmcid=PMC5829945,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1136_svn_2017_000101_e11c8bfbb4e47d8f.txt,52423,,
https://openalex.org/W3112948680,Comprehensive Review on Alzheimer’s Disease: Causes and Treatment,10.3390/molecules25245789,html_text_extracted,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC7764106/,cc-by,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3390_molecules25245789_c05055368af261e0.txt,109768,,
https://openalex.org/W3112948680,Comprehensive Review on Alzheimer’s Disease: Causes and Treatment,10.3390/molecules25245789,html_text_extracted,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC7764106/,cc-by,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3390_molecules25245789_c05055368af261e0.txt,109768,,
https://openalex.org/W3112948680,Comprehensive Review on Alzheimer’s Disease: Causes and Treatment,10.3390/molecules25245789,pdf_text_extracted,europe_pmc,https://europepmc.org/api/getPdf?pmcid=PMC7764106,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3390_molecules25245789_349b5bc90fe8deb3.txt,108194,,
https://openalex.org/W4318483790,Evaluation of artificial intelligence techniques in disease diagnosis and prediction,10.1007/s44163-023-00049-5,pdf_text_extracted,provider_metadata,https://link.springer.com/content/pdf/10.1007/s44163-023-00049-5.pdf?error=cookies_not_supported&code=09b5e3ec-17be-4906-9906-2047e0d47cbe,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1007_s44163_023_00049_5_ebba33ab10f9e3ea.txt,71407,,
https://openalex.org/W4220862305,Machine-Learning-Based Disease Diagnosis: A Comprehensive Review,10.3390/healthcare10030541,landing_pdf_text_extracted,unpaywall,https://pdfs.semanticscholar.org/9da0/35f1d7372cfe52167ff301bc12d5f415caf1.pdf,cc-by,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3390_healthcare10030541_697b63c87e3bf7f8.txt,23866,,
https://openalex.org/W3135096391,AI applications to medical images: From machine learning to deep learning,10.1016/j.ejmp.2021.02.006,extraction_failed,,,,,0,provider_metadata https://content.openalex.org/works/W3135096391.pdf: HTTPError: HTTP Error 401: Unauthorized | provider_metadata http://www.physicamedica.com/article/S1120179721000946/pdf: HTTPError: HTTP Error 403: Forbidden | provider_metadata https://doi.org/10.1016/j.ejmp.2021.02.006: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S1120179721000946 | core https://core.ac.uk/works/139815866: TimeoutError: The read operation timed out | core https://core.ac.uk/works/299291885: TimeoutError: The read operation timed out,https://scholar.google.com/scholar?q=10.1016/j.ejmp.2021.02.006
https://openalex.org/W3135096391,AI applications to medical images: From machine learning to deep learning,10.1016/j.ejmp.2021.02.006,extraction_failed,,,,,0,provider_metadata https://content.openalex.org/works/W3135096391.pdf: HTTPError: HTTP Error 401: Unauthorized | provider_metadata http://www.physicamedica.com/article/S1120179721000946/pdf: HTTPError: HTTP Error 403: Forbidden | provider_metadata https://doi.org/10.1016/j.ejmp.2021.02.006: ValueError: Extracted text too short for full-text tagging (11 chars) from https://linkinghub.elsevier.com/retrieve/pii/S1120179721000946 | core https://core.ac.uk/works/139815866: TimeoutError: The read operation timed out | core https://core.ac.uk/works/299291885: TimeoutError: The read operation timed out,https://scholar.google.com/scholar?q=10.1016/j.ejmp.2021.02.006
