paper_id,title,year,doi,provider,provider_id,source_rank,source_query,source_query_reason,screening_decision,screening_confidence,screening_reason,title_anchor_present,title_relevance_tier,title_matched_main_topics,title_matched_secondary_topics,title_missing_main_topics
10_1016_j_watres_2019_02_054,Microplastics in freshwaters and drinking water: Critical review and assessment of data quality,2019,10.1016/j.watres.2019.02.054,openalex,https://openalex.org/W2918895016,1,microplastics in drinking water,Direct examination of microplastics in drinking water.,include,high,The title includes the anchor topic and both main topics.,yes,0,microplastics_health_risks; drinking_water_sources,,
10_60810_openumwelt_3831,Microplastics in drinking-water,2019,10.60810/openumwelt-3831,openalex,https://openalex.org/W2972951570,2,microplastics in drinking water,Direct examination of microplastics in drinking water.,include,high,"The title directly addresses microplastics in drinking water, matching both the anchor topic and all main topics.",yes,0,microplastics_health_risks; drinking_water_sources,,
10_1016_j_watres_2020_116519,Drinking plastics? – Quantification and qualification of microplastics in drinking water distribution systems by µFTIR and Py-GCMS,2020,10.1016/j.watres.2020.116519,openalex,https://openalex.org/W3093039937,6,microplastics in drinking water,Direct examination of microplastics in drinking water.,include,high,The title contains both the anchor topic and all main topics.,yes,0,microplastics_health_risks; drinking_water_sources,,
10_1007_s00216_021_03498_y,Analysis of microplastics in drinking water and other clean water samples with micro-Raman and micro-infrared spectroscopy: minimum requirements and best practice guidelines,2021,10.1007/s00216-021-03498-y,openalex,https://openalex.org/W3183588047,11,microplastics in drinking water,Direct examination of microplastics in drinking water.,include,high,The title includes the anchor topic and both main topics.,yes,0,microplastics_health_risks; drinking_water_sources,,
10_1021_acs_est_9b04535,"A Review of Microplastics in Table Salt, Drinking Water, and Air: Direct Human Exposure",2020,10.1021/acs.est.9b04535,openalex,https://openalex.org/W3010537688,12,microplastics in drinking water,Direct examination of microplastics in drinking water.,exclude,high,Missing main topic(s) without secondary replacement: drinking_water_sources.,yes,999,microplastics_health_risks,,drinking_water_sources
10_2166_ws_2022_189,Microplastics in drinking water: a macro issue,2022,10.2166/ws.2022.189,openalex,https://openalex.org/W4225390979,14,microplastics in drinking water,Direct examination of microplastics in drinking water.,include,high,The title contains the anchor topic and both main topics.,yes,0,microplastics_health_risks; drinking_water_sources,,
10_1016_j_scitotenv_2019_134625,"Microplastics in wild fish from North East Atlantic Ocean and its potential for causing neurotoxic effects, lipid oxidative damage, and human health risks associated with ingestion exposure",2019,10.1016/j.scitotenv.2019.134625,openalex,https://openalex.org/W2988186114,17,health risks from microplastics,Exploring the health implications of microplastics.,include,high,The title contains the anchor topic on health risks of microplastics and has a secondary replacement for the drinking water sources topic.,yes,1,microplastics_health_risks,drinking_water_sources:microplastics source tracing,drinking_water_sources
10_3390_toxics13070597,"Health Risks from Microplastics in Intravenous Infusions: Evidence from Italy, Spain, and Ecuador",2025,10.3390/toxics13070597,openalex,https://openalex.org/W4412477478,18,health risks from microplastics,Exploring the health implications of microplastics.,exclude,medium,Missing main topic(s) without secondary replacement: drinking_water_sources.,yes,999,microplastics_health_risks,,drinking_water_sources
10_3390_ma16020674,Microplastics Derived from Food Packaging Waste—Their Origin and Health Risks,2023,10.3390/ma16020674,openalex,https://openalex.org/W4315573205,19,health risks from microplastics,Exploring the health implications of microplastics.,include,medium,The title contains the anchor topic and a secondary replacement for the non-anchor main topic.,yes,1,microplastics_health_risks,drinking_water_sources:microplastics source tracing,drinking_water_sources
10_1016_j_etap_2023_104307,Human health risk assessment of potentially toxic elements and microplastics accumulation in products from the Danube River Basin fish market,2023,10.1016/j.etap.2023.104307,openalex,https://openalex.org/W4388068402,27,health risks from microplastics,Exploring the health implications of microplastics.,include,medium,The title addresses health risks related to microplastics and includes a relevant secondary term for the drinking water sources.,yes,1,microplastics_health_risks,drinking_water_sources:microplastics source tracing,drinking_water_sources
10_3390_ijerph14101265,Wear and Tear of Tyres: A Stealthy Source of Microplastics in the Environment,2017,10.3390/ijerph14101265,openalex,https://openalex.org/W2766101344,29,health risks from microplastics,Exploring the health implications of microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1038_srep46687,Tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure,2017,10.1038/srep46687,openalex,https://openalex.org/W2608368045,30,health risks from microplastics,Exploring the health implications of microplastics.,exclude,medium,Missing main topic(s) without secondary replacement: drinking_water_sources.,yes,999,microplastics_health_risks,,drinking_water_sources
10_1029_2018jc014719,A Global Perspective on Microplastics,2020,10.1029/2018jc014719,openalex,https://openalex.org/W2999690316,32,health risks from microplastics,Exploring the health implications of microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_3390_s19081839,Microplastics Detection in Streaming Tap Water with Raman Spectroscopy,2019,10.3390/s19081839,openalex,https://openalex.org/W2937900856,34,tap water microplastics,Focusing on microplastics present specifically in tap water.,include,high,The title includes the anchor topic and a matched secondary replacement for the non-anchor main topic.,yes,1,microplastics_health_risks,drinking_water_sources:tap water contamination|microplastics in water supply,drinking_water_sources
10_3390_ijerph19095283,Occurrence of Microplastics in Tap and Bottled Water: Current Knowledge,2022,10.3390/ijerph19095283,openalex,https://openalex.org/W4224988818,35,tap water microplastics,Focusing on microplastics present specifically in tap water.,include,high,The title contains the anchor topic and both main topics.,yes,0,microplastics_health_risks; drinking_water_sources,,
10_3390_app10103463,Microplastic Contamination of Surface Water-Sourced Tap Water in Hong Kong—A Preliminary Study,2020,10.3390/app10103463,openalex,https://openalex.org/W3025992662,37,tap water microplastics,Focusing on microplastics present specifically in tap water.,include,medium,The title contains the anchor topic and a matched secondary term for the non-anchor main topic.,yes,1,microplastics_health_risks,drinking_water_sources:tap water microplastics,drinking_water_sources
10_1080_00032719_2019_1705476,"Distribution Characteristics and Influencing Factors of Microplastics in Urban Tap Water and Water Sources in Qingdao, China",2019,10.1080/00032719.2019.1705476,openalex,https://openalex.org/W2997361884,38,tap water microplastics,Focusing on microplastics present specifically in tap water.,include,high,The title includes the anchor topic and matches both main topics.,yes,0,microplastics_health_risks; drinking_water_sources,,
10_1021_acs_est_9b01517,Human Consumption of Microplastics,2019,10.1021/acs.est.9b01517,openalex,https://openalex.org/W2948574679,40,tap water microplastics,Focusing on microplastics present specifically in tap water.,exclude,medium,Missing main topic(s) without secondary replacement: drinking_water_sources.,yes,999,microplastics_health_risks,,drinking_water_sources
10_1016_j_scitotenv_2021_148231,Rapid analytical method for characterization and quantification of microplastics in tap water using a Fourier-transform infrared microscope,2021,10.1016/j.scitotenv.2021.148231,openalex,https://openalex.org/W3166739877,41,tap water microplastics,Focusing on microplastics present specifically in tap water.,include,high,The title contains the anchor topic and matches the main and secondary topics regarding microplastics in drinking water.,yes,1,microplastics_health_risks,drinking_water_sources:tap water contamination|microplastics in water supply,drinking_water_sources
10_3390_w13152097,A Study of Microplastic Particles in Danish Tap Water,2021,10.3390/w13152097,openalex,https://openalex.org/W3187350657,43,tap water microplastics,Focusing on microplastics present specifically in tap water.,include,high,The title contains the anchor topic and both main topics directly related to microplastics and drinking water.,yes,0,microplastics_health_risks; drinking_water_sources,,
10_1021_acs_estlett_4c00081,Drinking Boiled Tap Water Reduces Human Intake of Nanoplastics and Microplastics,2024,10.1021/acs.estlett.4c00081,openalex,https://openalex.org/W4392240109,47,tap water microplastics,Focusing on microplastics present specifically in tap water.,include,high,The title contains the anchor topic 'microplastics_health_risks' and matches a secondary topic replacement for 'drinking_water_sources'.,yes,1,microplastics_health_risks,drinking_water_sources:tap water microplastics,drinking_water_sources
10_3390_su13116404,"Presence and Quantification of Microplastic in Urban Tap Water: A Pre-Screening in Brasilia, Brazil",2021,10.3390/su13116404,openalex,https://openalex.org/W3169485728,48,tap water microplastics,Focusing on microplastics present specifically in tap water.,include,high,The title contains both the anchor topic and the main topics.,yes,0,drinking_water_sources; microplastics_health_risks,,
10_1016_j_hazadv_2024_100487,Human exposure to microplastics: A review on exposure routes and public health impacts,2024,10.1016/j.hazadv.2024.100487,openalex,https://openalex.org/W4402999793,50,public health microplastics,Investigating the public health dimensions of microplastics.,include,high,The title discusses human health impacts related to microplastics and includes a relevant secondary topic for drinking water sources.,yes,1,microplastics_health_risks,drinking_water_sources:environmental pollution drinking water|microplastics source tracing,drinking_water_sources
10_1016_j_envint_2019_105411,Atmospheric microplastic deposition in an urban environment and an evaluation of transport,2019,10.1016/j.envint.2019.105411,openalex,https://openalex.org/W2998576579,51,public health microplastics,Investigating the public health dimensions of microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_3389_fpubh_2025_1567200,Microplastics and human health: unraveling the toxicological pathways and implications for public health,2025,10.3389/fpubh.2025.1567200,openalex,https://openalex.org/W4411395127,53,public health microplastics,Investigating the public health dimensions of microplastics.,include,high,The title contains the anchor topic and a secondary replacement for the non-anchor main topic.,yes,1,microplastics_health_risks,drinking_water_sources:environmental pollution drinking water|microplastics source tracing,drinking_water_sources
10_7416_ai_2020_2377,"A survey on knowledge and awareness on the issue ""microplastics"": a pilot study on a sample of future public health professionals.",2021,10.7416/ai.2020.2377,openalex,https://openalex.org/W3048153723,54,public health microplastics,Investigating the public health dimensions of microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_5620_eaht_2024009,Microplastic pollution in landfill soil: Emerging threats the environmental and public health,2024,10.5620/eaht.2024009,openalex,https://openalex.org/W4393164985,55,public health microplastics,Investigating the public health dimensions of microplastics.,exclude,high,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1021_acs_chemrev_1c00178,"Chemical Analysis of Microplastics and Nanoplastics: Challenges, Advanced Methods, and Perspectives",2021,10.1021/acs.chemrev.1c00178,openalex,https://openalex.org/W3196228331,56,public health microplastics,Investigating the public health dimensions of microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
10_1016_j_cscee_2020_100073,Microplastic toxicity: A review of the role of marine sentinel species in assessing the environmental and public health impacts,2020,10.1016/j.cscee.2020.100073,openalex,https://openalex.org/W3113597590,57,public health microplastics,Investigating the public health dimensions of microplastics.,exclude,low,Anchor topic 'microplastics_health_risks' is not present in the title.,no,999,,,microplastics_health_risks; drinking_water_sources
